^CH1,CHDOW - DJ SWITZERLAND STOCK INDEX,Buy
^KFX,Denmark KFX Index,Buy
^DK1,DKDOW - DJ DENMARK STOCK INDEX,Buy
^FI1,FIDOW - DJ FINLAND STOCK INDEX,Buy
^FTTI,FT Techmark 100,Buy
^FTTA,FT Techmark Index,Buy
^FTGI,FTASX2720 Gen Industrials,Buy
^FTHO,FTASX3720 Household Goods,Buy
^FTMT,FTASX6570 Mobile Telecom,Buy
^FTSE,FTSE 100 Index,Buy
FTAS,FTSE All Share Index,Buy
^FTAD,FTSE Sector Aerospace & Defense,Buy
^FTDN,FTSE Sector Beverages,Buy
^FTCH,FTSE Sector Chemicals,Buy
^FTEE,FTSE Sector Electronic & Electrical Equi,Buy
^FTEN,FTSE Sector Engineering & Machinery,Buy
^FTFR,FTSE Sector Food & Drug Retailers,Buy
^FTFM,FTSE Sector Food Producers & Processors,Buy
^FTMA,FTSE Sector Health,Buy
^FTTH,FTSE Sector Information Technology Hardw,Buy
^FTTU,FTSE Sector INV Companies,Buy
^FTHL,FTSE Sector Leisure Entertainment & Hote,Buy
^FTMD,FTSE Sector Media & Photography,Buy
^FTPC,FTSE Sector Personal Care & Household Pr,Buy
^FTCS,FTSE Sector Software & Computer Services,Buy
^FTSS,FTSE Sector Support Services,Buy
^FTTR,FTSE Sector Transport,Buy
^TAX,FTSE techMark 100 Index,Buy
^GB1,GBDOW - DJ UK STOCK INDEX,Buy
^JSD,Jasdaq,Buy
^KLSE,Malaysia KLSE Composite Index,Buy
^NJQ,Nikkei JQ Average,Buy
^O30,OMX Stokholm 30 Index,Buy
^PH1,PHDOW - DJ PHILIPPINES STOCK INDEX,Buy
^S80,SBF 80,Buy
^SE1,SEDOW - DJ SWEDEN STOCK INDEX,Buy
^SSM2,Swiss Market Index,Buy
^SSMI,Swiss Market Index,Buy
^W12,W1CYC - DJ WORLD CONSUMER CYCLICALS INDE,Buy
OMXC20.CO,OMX Copenhagen 20 (Denmark),Buy
PD,CME Pork Bellies (PD, Globex) ,Buy
PR,Propane (PN, NYMEX) ,Buy
RB_,NYMEX NYH RBOB Gasoline (RB, Globex) ,Buy
OJ,Orange Juice (OJ, ICE [NYBOT]) ,Buy
PA_,NYMEX Palladium (PA, Globex) ,Buy
M6,CME Mexican Peso (M6, Globex) ,Buy
ND_,CME Nasdaq 100 (ND, Globex) ,Buy
RJ,Russell 2000 Mini (ICE [NYBOT]) ,Buy
NA,NASDAQ Composite Index ,Buy
RW,Russell 2000 Index ,Buy
@AMB6,A.M. Best's Glbl Ins Brkr Idx (AMBGB),Buy
@AMB4,A.M. Best's Glbl N/L Ins Idx (AMBGNL),Buy
@AMB2,A.M. Best's Glbl Reins Idx (AMBGR),Buy
@AM15,A.M. Best's US Ins Brkr Idx (AMBUB),Buy
@AMB9,A.M. Best's US Ins Cmp Idx (AMBUS),Buy
@AM11,A.M. Best's US P/C Ins Idx (AMBUPC),Buy
IXR,Amex Consumer Staples Sector Index,Buy
IXY,Amex Cyclical/Transport Sector Index,Buy
NWX,Amex Networking Index,Buy
BTD,BIOTECH BOXES INDICATIVE VALUE INDEX,Buy
TRGSPD,Consumer Discretionary Total Return Inde,Buy
TRGSPS,Consumer Staples TR Index,Buy
A1CYC,DJ AMERICAS CONSUMER CYCLICAL INDEX,Buy
A1NCY,DJ AMERICAS CONSUMER NON-CYCLICAL IN,Buy
DJSVC,DJ Internet Service Index,Buy
DJU16,DJ US Biotechnology Index,Buy
DJU2,DJ US Consumer Cyclical Index,Buy
DJUSNC,DJ US Consumer Goods,Buy
DJU3,DJ US Consumer Non-Cyclical Index,Buy
DJUSCY,DJ US Consumer Service,Buy
@DJ5,DJ US Media,Buy
DJUSS,DJ US Small-Cap Index,Buy
DJT15,DJTRET - DJ SECTOR TITANS RETAIL INDEX,Buy
DJU19,DJUSAE - DJ US AEROSPACE INDEX,Buy
DJU21,DJUSAI - DJ US ADV. INDUSTRIAL EQUIP IND,Buy
DJU24,DJUSAP - DJ US AUTO MANUFACTURERS & PART,Buy
DJU26,DJUSAT - DJ US AUTO PARTS INDEX,Buy
DJU27,DJUSAU - DJ US AUTOMOBILES INDEX,Buy
DJU29,DJUSBC - DJ US BROADCASTING INDEX,Buy
DJU34,DJUSCE - DJ US CONSUMER ELECTRONICS INDE,Buy
DJU35,DJUSCF - DJ US CLOTHING/FABRICS INDEX,Buy
DJU44,DJUSCX - DJ US Chemicals Specialty Index,Buy
DJU53,DJUSFD - DJ US FOOD RETAILERS & WHOLESAL,Buy
DJU55,DJUSFH - DJ US FURNISHINGS INDEX,Buy
DJU56,DJUSFP - DJ US FOOD PRODUCTS INDEX,Buy
DJU59,DJUSFT - DJ US FOOTWEAR INDEX,Buy
DJU61,DJUSGM - DJ US MID-CAP GROWTH INDEX,Buy
DJU76,DJUSIP - DJ US INSURANCE PROPERTY & CASU,Buy
DJU77,DJUSIR - DJ US INSURANCE INDEX,Buy
DJU91,DJUSOE - DJ US OFFICE EQUIPMENT INDEX,Buy
DJV2,DJUSRA - DJ US Retailers Apparel Index,Buy
DJV3,DJUSRB - DJ US Retailers Broadline Index,Buy
DJV4,DJUSRD - DJ US Retailers Drug-based Inde,Buy
DJV5,DJUSRP - DJ US RECREATIONAL PRODUCTS & S,Buy
DJV8,DJUSRT - DJ US RETAILERS INDEX,Buy
DJV18,DJUSTB - DJ US TOBACCO INDEX,Buy
