A3DOW - DJ LATIN AMERICA STOCK INDEX,^A31
Argentina Merval Index,^MERV
ATDOW - DJ AUSTRIA STOCK INDEX,^AT1
ATDOWD - DJ AUSTRIA STOCK INDEX USD,^AT2
Australia All Ordinaries Index,^AORD
Austria ATX Index,^ATX
Austrian Ceceeur Index,^CEC
Baltic Dry Index,^BADI
BEDOW - DJ BELGIUM STOCK INDEX,^BE1
BEDOWD - DJ BELGIUM STOCK INDEX USD,^BE2
Brazil Bovespa Index,^BVS2
Brazil Bovespa Index,^BVSP
BRDOW - DJ BRAZIL STOCK INDEX,^BR1
BRDOWD - DJ BRAZIL STOCK INDEX USD,^BR2
Brussels Bel-20 Share Index,^BFX
CADOW - DJ CANADA STOCK INDEX,^CA1
CADOWD - DJ CANADA STOCK INDEX USD,^CA2
CHDOW - DJ SWITZERLAND STOCK INDEX,^CH1
CHDOWD - DJ SWITZERLAND STOCK INDEX USD,^CH2
Chile SASE General Index,^IGPA
Chile SASE Select Index (NEW),^IPSA
China Shanghai Composite Index,^SSEC
China Shenzhen Composite Index,^SZSC
CLDOW - DJ CHILE STOCK INDEX,^CL1
CLDOWD - DJ CHILE STOCK INDEX USD,^CL2
Czech Index,^CTX
Czech Index Euro,^CTXE
DAX NEW VOLATILITY INDEX,^VIXI
DAX VOLATILITY INDEX,^VDAX
DEDOW - DJ GERMANY STOCK INDEX,^DE1
DEDOWD - DJ GERMANY STOCK INDEX USD,^DE2
Denmark KFX Index,^KFX
Deutsch Bank Liquid Commodity Index,^DBLC
DJ ASIAN TITANS INDEX,^DJAT
DJ EURO STOXX 50 US$ PRICE,^SX5K
DJ Euro Stoxx50 Euro Price,^SX5E
DJ HONG KONG EXTRA LIQUID INDEX,^XLHK
DJ ISLAMIC EXTRA LIQUID INDEX,^IMXL
DJ ISLAMIC MARKET US INDEX,^IMUS
DJ STOXX 50 EURO Price,^SX5P
DJ STOXX 50 US$ PRICE,^SX5L
DJ Stoxx 600 Euro Price,^SXXP
DJAUM - DJ AUSTRALIAN MID-CAP INDEX,^DJ1
DJAUS - DJ AUSTRALIAN SMALL-CAP INDEX,^DJ2
DKDOW - DJ DENMARK STOCK INDEX,^DK1
DKDOWD - DJ DENMARK STOCK INDEX USD,^DK2
DOW JONES AUSTRALIAN INDEX,^DJAU
E1BSC - DJ EUROPE BASIC MATERIALS INDEX,^E11
E1CYC - DJ EUROPE CONSUMER CYCLICALS IND,^E12
E1DOW - DJ EUROPE STOCK INDEX,^E13
E1ENE - DJ EUROPE ENERGY INDEX,^E14
E1FIN - DJ EUROPE FINANCIAL INDEX,^E15
E1IDU - DJ EUROPE INDUSTRIAL INDEX,^E16
E1NCY - DJ EUROPE CONSUMER NON-CYCLICAL,^E17
E1TEC - DJ EUROPE TECHNOLOGY INDEX,^E18
E1UTI - DJ EUROPE UTILITIES INDEX,^E19
E2BSC - DJ EUROPE (EX UK) BASIC MATERIAL,^E21
E2CYC - DJ EUROPE (EX UK) CONSUMER CYCLI,^E22
E2DOW - DJ EUROPE STOCK INDEX (EXCL UK),^E23
E2ENE - DJ EUROPE (EX UK) ENERGY INDEX,^E24
E2FIN - DJ EUROPE (EX UK) FINANCIAL INDE,^E25
E2IDU - DJ EUROPE (EX UK) INDUSTRIAL IND,^E26
E2NCY - DJ EUROPE (EX UK) CONSUMER NON-C,^E27
E2UTI - DJ EUROPE (EX UK) UTILITIES INDE,^E28
E3DOW - DJ NORDIC STOCK INDEX,^E31
Egypt CMA Index,^CCSI
ESDOW - DJ SPAIN STOCK INDEX,^ES1
ESDOWD - DJ SPAIN STOCK INDEX USD,^ES2
Euronext 100 Index,^N100
Euronext 150 Index,^N150
FIDOW - DJ FINLAND STOCK INDEX,^FI1
FIDOWD - DJ FINLAND STOCK INDEX USD,^FI2
Finland Helsinki General Index,^HEX
France CAC-40 Index,^FCHI
FRDOW - DJ FRANCE STOCK INDEX,^FR1
FRDOWD - DJ FRANCE STOCK INDEX USD,^FR2
FT Techmark 100,^FTTI
FT Techmark Index,^FTTA
FTASX0570 Oil Equip Suppies & Drilling,^FTOE
FTASX2720 Gen Industrials,^FTGI
FTASX3720 Household Goods,^FTHO
FTASX6570 Mobile Telecom,^FTMT
FTASZ7570 Gas Water and Util,^FTGW
FTSE 100 Index,^FTSE
FTSE All Share Index,FTAS
FTSE Italia All-Share,^GU15
FTSE Italia Micro Cap,^GU17
FTSE Italia Mid-Cap,^GU16
FTSE Italia Small Cap,^GU18
FTSE Italia Star,^ALLS
FTSE MIB Index,^SPM
FTSE Sector Aerospace & Defense,^FTAD
FTSE Sector Automobiles and Parts,^FTAM
FTSE Sector Banks,^FTBK
FTSE Sector Beverages,^FTDN
FTSE Sector Chemicals,^FTCH
FTSE Sector Construction & Building Mate,^FTBM
FTSE Sector Electricity,^FTEY
FTSE Sector Electronic & Electrical Equi,^FTEE
FTSE Sector Engineering & Machinery,^FTEN
FTSE Sector Food & Drug Retailers,^FTFR
FTSE Sector Food Producers & Processors,^FTFM
FTSE Sector Health,^FTMA
FTSE Sector Household Goods & Textiles,^FTHG
FTSE Sector Information Technology Hardw,^FTTH
FTSE Sector Insurance,^FTIC
FTSE Sector INV Companies,^FTTU
FTSE Sector Leisure Entertainment & Hote,^FTHL
FTSE Sector Life Assurance,^FTIL
FTSE Sector Media & Photography,^FTMD
FTSE Sector Mining,^FTEI
FTSE Sector Oil & Gas,^FTOI
FTSE Sector Personal Care & Household Pr,^FTPC
FTSE Sector Pharmaceuticals,^FTPH
FTSE Sector Real Estate,^FTPY
FTSE Sector Software & Computer Services,^FTCS
FTSE Sector Speciality & Other Finance,^FTOF
FTSE Sector Support Services,^FTSS
FTSE Sector Telecommunications Services,^FTTN
FTSE Sector Tobacco,^FTTB
FTSE Sector Transport,^FTTR
FTSE techMark 100 Index,^TAX
GBDOW - DJ UK STOCK INDEX,^GB1
GBDOWD - DJ UK STOCK INDEX USD,^GB2
Germany DAX Index,^GDAX
GRDOW - DJ GREECE STOCK INDEX,^GR1
GRDOWD - DJ GREECE STOCK INDEX USD,^GR2
Greece General Share Index,^ATG
HANG SENG CHINA ENTERPRISES IND,^HSCE
HKDOW - DJ HONG KONG STOCK INDEX,^HK1
HKDOWD - DJ HONG KONG STOCK INDEX USD,^HK2
Hong Kong Hang Seng Index,^HSI
Hungarian Index,^HTX
Hungarian Index Euro,^HTXE
Hungary BUX Index,^BUX
ICE Brent Afternoon Marker 3rd Month,^IPE3
ICE Brent Afternoon Markers,^IPEB
ICE Brent Asian Markers,^IBAM
ICE Brent Singapore Markers Month 3,^IBS3
ICE Crude Oil Index,^IPCI
ICE Gas Oil 1930 Markers Month 3,^IGE3
ICE Gas Oil Evening Markers,^IGEM
ICE Gas Oil Night Markers,^IGNM
ICE Gas Oil Singapore Markers Month 3,^IGS3
ICE Gasoil 1730 Markers Month 3,^IGO3
ICE Gasoil Singapore Markers,^IGSM
ICE Natural Gas Index,^IPNG
ICE WTI Singapore Markers,^IWSM
IDDOW - DJ INDONESIA STOCK INDEX,^ID1
IDDOWD - DJ INDONESIA STOCK INDEX USD,^ID2
IEDOW - DJ IRELAND STOCK INDEX,^IE1
IEDOWD - DJ IRELAND STOCK INDEX USD,^IE2
India BSE 30 Index,^BSES
Indice Mexico,^INMX
IPC (MEXICO),^IPC
Irish Stock Exchange Index,^ISEQ
Israel TA-100 Index,^TA10
ITDOW - DJ ITALY STOCK INDEX,^IT1
ITDOWD - DJ ITALY STOCK INDEX USD,^IT2
Jakarta Composite Index,^JKSE
Japan Nikkei 225 Index,^N225
Jasdaq,^JSD
Johannesburg Financial Index,^JSFI
Johannesburg Industrial Index,^JIAI
Johannesburg Overall Index,^JSAI
JPDOW - DJ JAPAN STOCK INDEX,^JP1
JPDOWD - DJ JAPAN STOCK INDEX USD,^JP2
KOSPI 200 Index,^KOS
KRDOW - DJ SOUTH KOREA STOCK INDEX,^KR1
KRDOWD - DJ SOUTH KOREA STOCK INDEX USD,^KR2
London FT 30 Industrial Index,^FTII
London Gold Mines,^FTGM
Madrid General Index,^SMSI
Malaysia KLSE Composite Index,^KLSE
MDAX,^MDAX
Mexico I P C,^MXX
MSCI EAFE,^XMSC
MSCI Singapore Stock Index,^MSSG
MSCI Taiwan Index,^MSTW
MSCI World Index,XMSW
MXDOW - DJ MEXICO STOCK INDEX,^MX1
MXDOWD - DJ MEXICO STOCK INDEX USD,^MX2
MYDOW - DJ MALAYSIA STOCK INDEX,^MY1
MYDOWD - DJ MALAYSIA STOCK INDEX USD,^MY2
Netherlands AEX General Index,^AEX
New Zealand 50 Index,^NZ50
Nikkei 300,^N300
Nikkei JQ Average,^NJQ
NLDOW - DJ NETHERLANDS STOCK INDEX,^NL1
NLDOWD - DJ NETHERLANDS STOCK INDEX USD,^NL2
NODOW - DJ NORWAY STOCK INDEX,^NO1
NODOWD - DJ NORWAY STOCK INDEX USD,^NO2
NZAX All Shares Gross,^NZAX
NZDOW - DJ NEW ZEALAND STOCK INDEX,^NZ1
NZDOWD - DJ NEW ZEALAND STOCK INDEX USD,^NZ2
NZX 10 Capital,^N10C
NZX 10 Gross,^N10G
NZX 15,^NZ15
NZX 50 Portfolio Capital,^N50C
NZX 50 Portfolio Gross,^N50G
NZX All Shares Capital,^NZAC
NZX All Shares Gross,^NZAG
NZX MidCap Capital,^NMCC
NZX MidCap Gross,^NMCG
NZX SciTech Capital,^NZSC
NZX SciTech Gross,^NZSG
NZX SmallCap Capital,^NSCC
NZX SmallCap Gross,^NSCG
OBX Index,^OBX
OMX Stokholm 30 Index,^O30
P1BSC - DJ PACIFIC BASIC MATERIALS INDEX,^P11
P1CYC - DJ PACIFIC CONSUMER CYCLICALS IN,^P12
P1DOW - DJ PACIFIC STOCK INDEX,^P13
P1ENE - DJ PACIFIC ENERGY INDEX,^P14
P1FIN - DJ PACIFIC FINANCIAL INDEX,^P15
P1IDU - DJ PACIFIC INDUSTRIAL INDEX,^P16
P1NCY - DJ PACIFIC CONSUMER NON-CYCLICAL,^P17
P1TEC - DJ PACIFIC TECHNOLOGY INDEX,^P110
P1UTI - DJ PACIFIC UTILITIES INDEX,^P111
P2BSC - DJ PACIFIC (EX JPN) BASIC MATERI,^P21
P2CYC - DJ PACIFIC (EX JPN) CONSUMER CYC,^P22
P2DOW - DJ PACIFIC INDEX (EXCL JAPAN),^P23
P2ENE - DJ PACIFIC (EX JPN) ENERGY INDEX,^P24
P2FIN - DJ PACIFIC (EX JPN) FINANCIAL IN,^P25
P2IDU - DJ PACIFIC (EX JPN) INDUSTRIAL I,^P26
P2NCY - DJ PACIFIC (EX JPN) CONSUMER NON,^P27
P2TEC - DJ PACIFIC (EX JPN) TECHNOLOGY I,^P28
P2UTI - DJ PACIFIC (EX JPN) UTILITIES IN,^P29
P3DOW - DJ SOUTHEAST ASIA STOCK INDEX,^P31
Pakistan Karachi 100 Index,^KSE
Peru Lima General Index,^IGRA
PHDOW - DJ PHILIPPINES STOCK INDEX,^PH1
PHDOWD - DJ PHILIPPINES STOCK INDEX USD,^PH2
Philippines PSE Composite Index,^PSI
Polish Index,^PTX
Polish Index Euro,^PTXE
PTDOW - DJ PORTUGAL STOCK INDEX,^PT1
PTDOWD - DJ PORTUGAL STOCK INDEX USD,^PT2
Russia Moscow Times Index,^MTMS
Russian Indust Index,^RUX
Russian Trading System Index,^RTS
S&P Latin America 40,^LA40
S&P/ASX 200,^AXJO
S&P/Topix USD,^SPTD
S&P/Topix Yen,^SPT
SBF 120,^S120
SBF 250,^S250
SBF 80,^S80
SEDOW - DJ SWEDEN STOCK INDEX,^SE1
SEDOWD - DJ SWEDEN STOCK INDEX USD,^SE2
SGDOW - DJ SINGAPORE STOCK INDEX,^SG1
SGDOWD - DJ SINGAPORE STOCK INDEX USD,^SG2
Singapore Straits Times Index,^STI
Slovakia SAX Index,^SAX
South Korea Seoul Composite Index,^KS11
Spain IBEX 35 Index,^IBEX
Sri Lanka All Share Index,^CSE
Swiss Market Index,^SSM2
Swiss Market Index,^SSMI
Swiss Mid-Cap,^ESM
Taiwan Weighted Index,^TWII
TecDAX Performance Index,^TECD
TecDAX Price Index,^TECP
Thailand Set 50 Index,^S50
Thailand SET Index,^SETI
THDOW - DJ THAILAND STOCK INDEX,^TH1
THDOWD - DJ THAILAND STOCK INDEX USD,^TH2
Tokyo Topix,^TOPX
Topix,^JTI
Topix 100,^T100
Topix 300,^JNW
Topix Index,^JTI2
TSE S&P Completion Index,^TXMX
TSE S&P Smallcap Index,^TXSX
Turkey ISE National 100,^XU10
TWDOW - DJ TAIWAN STOCK INDEX,^TW1
TWDOWD - DJ TAIWAN STOCK INDEX USD,^TW2
Venezuela IBC Index,^IBC
VSTOXX,^EVS
W1BSC - DJ WORLD BASIC MATERIALS INDEX,^W11
W1CYC - DJ WORLD CONSUMER CYCLICALS INDE,^W12
W1DOW - DJ WORLD STOCK INDEX,^W13
W1ENE - DJ WORLD ENERGY INDEX,^W14
W1FIN - DJ WORLD FINANCIAL INDEX,^W15
W1IDU - DJ WORLD INDUSTRIAL INDEX,^W16
W1NCY - DJ WORLD CONSUMER NON-CYCLICALS,^W17
W1SGI - DJ WORLD GROUP INDEX COMPOSITE,^W18
W1SUS - DJ WORLD GROUP INDEX excl TOB/AL,^W19
W1TEC - DJ WORLD TECHNOLOGY INDEX,^W110
W1UTI - DJ WORLD UTILITIES INDEX,^W111
W2BSC - DJ WORLD (EX US) BASIC MATERIALS,^W21
W2CYC - DJ WORLD (EX US) CONSUMER CYCLIC,^W22
W2DOW - DJ WORLD STOCK INDEX (EXCL US),^W23
W2ENE - DJ WORLD (EX US) ENERGY INDEX,^W24
W2FIN - DJ WORLD (EX US) FINANCIAL INDEX,^W25
W2IDU - DJ WORLD (EX US) INDUSTRIAL INDE,^W26
W2NCY - DJ WORLD (EX US) CONSUMER NON-CY,^W27
W2TEC - DJ WORLD (EX US) TECHNOLOGY INDE,^W28
W2UTI - DJ WORLD (EX US) UTILITIES INDEX,^W29
XLAUS - DJ AUSTRALIA EXTRA LIQUID INDEX,^XL1
