^A31,A3DOW - DJ LATIN AMERICA STOCK INDEX
^MERV,Argentina Merval Index
^AT1,ATDOW - DJ AUSTRIA STOCK INDEX
^AT2,ATDOWD - DJ AUSTRIA STOCK INDEX USD
^AORD,Australia All Ordinaries Index
^ATX,Austria ATX Index
^CEC,Austrian Ceceeur Index
^BADI,Baltic Dry Index
^BE1,BEDOW - DJ BELGIUM STOCK INDEX
^BE2,BEDOWD - DJ BELGIUM STOCK INDEX USD
^BVS2,Brazil Bovespa Index
^BVSP,Brazil Bovespa Index
^BR1,BRDOW - DJ BRAZIL STOCK INDEX
^BR2,BRDOWD - DJ BRAZIL STOCK INDEX USD
^BFX,Brussels Bel-20 Share Index
^BSESN,BSE 30 (India)
^CA1,CADOW - DJ CANADA STOCK INDEX
^CA2,CADOWD - DJ CANADA STOCK INDEX USD
^CH1,CHDOW - DJ SWITZERLAND STOCK INDEX
^CH2,CHDOWD - DJ SWITZERLAND STOCK INDEX USD
^IGPA,Chile SASE General Index
^IPSA,Chile SASE Select Index (NEW)
^SSEC,China Shanghai Composite Index
^SZSC,China Shenzhen Composite Index
^CL1,CLDOW - DJ CHILE STOCK INDEX
^CL2,CLDOWD - DJ CHILE STOCK INDEX USD
^CTX,Czech Index
^CTXE,Czech Index Euro
^GDAXI,DAX (Germany)
^VIXI,DAX NEW VOLATILITY INDEX
^VDAX,DAX VOLATILITY INDEX
^DE1,DEDOW - DJ GERMANY STOCK INDEX
^DE2,DEDOWD - DJ GERMANY STOCK INDEX USD
^KFX,Denmark KFX Index
^DBLC,Deutsch Bank Liquid Commodity Index
^DJAT,DJ ASIAN TITANS INDEX
^SX5K,DJ EURO STOXX 50 US$ PRICE
^SX5E,DJ Euro Stoxx50 Euro Price
^XLHK,DJ HONG KONG EXTRA LIQUID INDEX
^IMXL,DJ ISLAMIC EXTRA LIQUID INDEX
^IMUS,DJ ISLAMIC MARKET US INDEX
^SX5P,DJ STOXX 50 EURO Price
^SX5L,DJ STOXX 50 US$ PRICE
^SXXP,DJ Stoxx 600 Euro Price
^6DJ,DJ STOXX 600 Index
^DJ1,DJAUM - DJ AUSTRALIAN MID-CAP INDEX
^DJ2,DJAUS - DJ AUSTRALIAN SMALL-CAP INDEX
^DK1,DKDOW - DJ DENMARK STOCK INDEX
^DK2,DKDOWD - DJ DENMARK STOCK INDEX USD
^DJAU,DOW JONES AUSTRALIAN INDEX
^JP1,Dow Jones Japan Index
^E11,E1BSC - DJ EUROPE BASIC MATERIALS INDEX
^E12,E1CYC - DJ EUROPE CONSUMER CYCLICALS IND
^E13,E1DOW - DJ EUROPE STOCK INDEX
^E14,E1ENE - DJ EUROPE ENERGY INDEX
^E15,E1FIN - DJ EUROPE FINANCIAL INDEX
^E16,E1IDU - DJ EUROPE INDUSTRIAL INDEX
