AUDCAD,AUD/CAD
AUDCHF,AUD/CHF
AUDEUR,AUD/EUR
AUDGBP,AUD/GBP
AUDJPY,AUD/JPY
AUDNZD,AUD/NZD
AUDSGD,AUD/SGD
AUDUSD,AUD/USD
CADCHF,CAD/CHF
CADGBP,CAD/GBP
CADJPY,CAD/JPY
CHFJPY,CHF/JPY
EURAUD,EUR/AUD
EURCAD,EUR/CAD
EURCHF,EUR/CHF
EURCZK,EUR/CZK
EURDKK,EUR/DKK
EURGBP,EUR/GBP
EURHUF,EUR/HUF
EURJPY,EUR/JPY
EURMXN,EUR/MXN
EURNOK,EUR/NOK
EURNZD,EUR/NZD
EURPLN,EUR/PLN
EURSEK,EUR/SEK
EURSGD,EUR/SGD
EURUSD,EUR/USD
GBPAUD,GBP/AUD
GBPCAD,GBP/CAD
GBPCHF,GBP/CHF
GBPCZK,GBP/CZK
GBPDKK,GBP/DKK
GBPEUR,GBP/EUR
GBPHUF,GBP/HUF
GBPJPY,GBP/JPY
GBPMXN,GBP/MXN
GBPNOK,GBP/NOK
GBPNZD,GBP/NZD
GBPPLN,GBP/PLN
GBPSEK,GBP/SEK
GBPSGD,GBP/SGD
GBPUSD,GBP/USD
GBPZAR,GBP/ZAR
NOKSEK,NOK/SEK
NZDCHF,NZD/CHF
NZDEUR,NZD/EUR
NZDGBP,NZD/GBP
NZDJPY,NZD/JPY
NZDUSD,NZD/USD
SGDJPY,SGD/JPY
USDCAD,USD/CAD
USDCHF,USD/CHF
USDCZK,USD/CZK
USDDKK,USD/DKK
USDHUF,USD/HUF
USDJPY,USD/JPY
USDMXN,USD/MXN
USDNOK,USD/NOK
USDPLN,USD/PLN
USDSEK,USD/SEK
USDSGD,USD/SGD
USDZAR,USD/ZAR
