GF,Feeder Cattle (CME),CATTLE / HOGS / MEAT PRODUCTS
HE,Lean Hogs (CME),CATTLE / HOGS / MEAT PRODUCTS
LE,Live Cattle (CME),CATTLE / HOGS / MEAT PRODUCTS
PD,Frozen Pork Bellies (CME),CATTLE / HOGS / MEAT PRODUCTS
RC,CRB Index,COMMODITY & STOCK INDEXES
DW,Dow Jones Industrial Average,COMMODITY & STOCK INDEXES
NA,NASDAQ Composite Index,COMMODITY & STOCK INDEXES
RW,Russell 2000 Index,COMMODITY & STOCK INDEXES
SW,S&P 500 Index,COMMODITY & STOCK INDEXES
TS,Toronto S&P 60,COMMODITY & STOCK INDEXES
A6,Australian Dollar (CME),CURRENCIES
B6,British Pound (CME),CURRENCIES
D6,Canadian Dollar (CME),CURRENCIES
E6,Euro (CME),CURRENCIES
E7,Euro Emini (CME),CURRENCIES
J6,Japanese Yen (CME),CURRENCIES
J7,Japanese Yen Emini (CME),CURRENCIES
M6,Mexican Peso (CME),CURRENCIES
N6,New Zealand Dollar (CME),CURRENCIES
S6,Swiss Franc (CME),CURRENCIES
BA,Alberta Barley (ICE [WCE]),"GRAINS, CEREAL / OILSEED"
CA,Canola (ICE [WCE]),"GRAINS, CEREAL / OILSEED"
ZC,Corn (CBOT),"GRAINS, CEREAL / OILSEED"
XN,Corn Mini (CBOT),"GRAINS, CEREAL / OILSEED"
ZO,Oats (CBOT),"GRAINS, CEREAL / OILSEED"
ZR,Rough Rice (CBOT),"GRAINS, CEREAL / OILSEED"
ZS,Soybeans (CBOT),"GRAINS, CEREAL / OILSEED"
XK,Soybeans Mini (CBOT),"GRAINS, CEREAL / OILSEED"
ZM,Soybean Meal (CBOT),"GRAINS, CEREAL / OILSEED"
ZL,Soybean Oil (CBOT),"GRAINS, CEREAL / OILSEED"
ZW,Wheat (CBOT),"GRAINS, CEREAL / OILSEED"
XW_,Mini Wheat (CBOT),"GRAINS, CEREAL / OILSEED"
MW,Hard Red Spring Wheat (Electronic) (MGE),"GRAINS, CEREAL / OILSEED"
KE,Wheat (Kansas) (KCBT),"GRAINS, CEREAL / OILSEED"
CR,CRB Index Futures (ICE [NYBOT]),INDEX FUTURES
CI,Continuous CRB Index (ICE [NYBOT]),INDEX FUTURES
ZD,Dow Jones Industrial Average (CBOT),INDEX FUTURES
YM,Dow Jones E-mini ($5) (Globex) (CBOT),INDEX FUTURES
GX_,Goldman Sachs Commodity Index (CME),INDEX FUTURES
GH,Libor 1 Month (CME),INDEX FUTURES
LZ,London FT-SE 100 (LIFFE),INDEX FUTURES
ND_,Nasdaq 100 (CME),INDEX FUTURES
NQ,Nasdaq 100 E-mini (CME),INDEX FUTURES
NY,Nikkei 225 (CME),INDEX FUTURES
NC,NYSE Composite Futures (ICE [NYBOT]),INDEX FUTURES
RJ,Russell 2000 Mini (ICE [NYBOT]),INDEX FUTURES
R1,Russell 1000 Mini (ICE [NYBOT]),INDEX FUTURES
TO,Russell 2000 (ICE [NYBOT]),INDEX FUTURES
SP_,S&P 500 (CME),INDEX FUTURES
ES,S&P 500 E-mini (CME),INDEX FUTURES
MD,S&P Midcap 400 (CME),INDEX FUTURES
ME,Emini S&P Midcap 400 (CME),INDEX FUTURES
SX,S&P Canada 60 Index (MFE),INDEX FUTURES
US,US Dollar Index (ICE [NYBOT]),INDEX FUTURES
SR,10 Year Interest Rate Swap (CBOT),INTEREST / FINANCIAL FUTURES
CG,10 Yr Govt of Canada Bonds (MFE),INTEREST / FINANCIAL FUTURES
BX,Cdn Bankers Accept. 3 Month (MFE),INTEREST / FINANCIAL FUTURES
GE,Euro Dollar (CME),INTEREST / FINANCIAL FUTURES
EY,Euro Yen (CME),INTEREST / FINANCIAL FUTURES
ZQ,Fed Funds 30 Day (CBOT),INTEREST / FINANCIAL FUTURES
GL,Gilts Long (LIFFE),INTEREST / FINANCIAL FUTURES
SS,Short Sterling (LIFFE),INTEREST / FINANCIAL FUTURES
ZB,Treasury Bonds 30 Year (CBOT),INTEREST / FINANCIAL FUTURES
ZT,Treasury Notes 2 Year (CBOT),INTEREST / FINANCIAL FUTURES
ZF,Treasury Notes 5 Year (CBOT),INTEREST / FINANCIAL FUTURES
ZN,Treasury Notes 10 Year (CBOT),INTEREST / FINANCIAL FUTURES
AL,Aluminum (delisted by exchange) (COMEX),METALS
HG_,Copper High Grade (COMEX),METALS
QC,Copper miNY (Globex) (COMEX),METALS
DG,Gold (COMEX),METALS
ZG,Gold 100 oz. (CBOT),METALS
YG,"Gold, NY Mini (CBOT)",METALS
QO,Gold miNY (Globex) (COMEX),METALS
PA_,Palladium (NYMEX),METALS
PL_,Platinum (NYMEX),METALS
SV_,Silver 5000 oz (COMEX),METALS
ZI,Silver 5000 oz (CBOT),METALS
YI,Silver NY Mini (CBOT),METALS
QI,Silver miNY (Globex) (COMEX),METALS
UX,Uranium (Globex) (NYMEX),METALS
BC,Brent Crude Oil (IPE),PETROLEUM / ENERGY FUTURES
CL_,Light Crude Oil (Pit) (NYMEX),PETROLEUM / ENERGY FUTURES
QM,Crude Oil EmiNY (NYMEX),PETROLEUM / ENERGY FUTURES
JM,PJM Electricity (NYMEX),PETROLEUM / ENERGY FUTURES
ZK,Ethanol (CBOT),PETROLEUM / ENERGY FUTURES
GO,Gas - Oil (IPE),PETROLEUM / ENERGY FUTURES
HO_,Heating Oil (NYMEX),PETROLEUM / ENERGY FUTURES
NG_,Natural Gas (NYMEX),PETROLEUM / ENERGY FUTURES
QG,Natural Gas miNY (NYMEX),PETROLEUM / ENERGY FUTURES
PR,Propane (delisted by exchange Sept 18th) (NYMEX),PETROLEUM / ENERGY FUTURES
RB_,NYH RBOB Unleaded Gas (NYMEX),PETROLEUM / ENERGY FUTURES
