NDXE,100 Equal Weighted Index
@COFI,11th Dist MWA COFI
@TCMR,1-yr Treas Const Maturity Rate
@AMB8,A.M. Best's A/P Ins Cmp Idx (AMBAP)
@AMB7,A.M. Best's Eur Ins Cmp Idx (AMBEUR)
@AMB6,A.M. Best's Glbl Ins Brkr Idx (AMBGB)
@AMB1,A.M. Best's Glbl Ins Cmp Idx (AMBG)
@AMB5,A.M. Best's Glbl Life Ins Idx (AMBGL)
@AMB3,A.M. Best's Glbl M/L Ins Idx (AMBGML)
@AMB4,A.M. Best's Glbl N/L Ins Idx (AMBGNL)
@AMB2,A.M. Best's Glbl Reins Idx (AMBGR)
@AM14,A.M. Best's US Hlth Ins Idx (AMBUH)
@AM15,A.M. Best's US Ins Brkr Idx (AMBUB)
@AMB9,A.M. Best's US Ins Cmp Idx (AMBUS)
@AM12,A.M. Best's US L/H Ins Idx (AMBULH)
@AM13,A.M. Best's US Life Ins Idx (AMBUL)
@AM10,A.M. Best's US M/L Ins Idx (AMBUML)
@AM11,A.M. Best's US P/C Ins Idx (AMBUPC)
@AGIE,AGI Europe EUR
@AGIM,AGI Europe Extra Liquid EUR
@AEX,AGI Europe Extra Liquid USD
@AGE,AGI Europe USD
&AGIN,AGI North America
@AGIA,AGI North America Extra Liquid EUR
@ANX,AGI North America Extra Liquid USD
@AGN,AGI North America USD
AMZ,Alerian MLP Index
DFI,AMERICAN - DEFENSE INDEX
ADR,AMERICAN - INTERNATIONAL MARKET INDEX
@ADR,American Depository Receipt Index
XMI,"Amex 20 Stock Index (g,o)"
ISSA,"Amex Adv,Dec,Unch,Up/Dn Vol (d)"
XAL,Amex Airline Index
IXB,Amex Basic Industries Sector Index
BTK,Amex Biotech Index
XDH,AMEX BROADBOND HLDRS
XBD,Amex Broker/Dealer Index
XAX,Amex Composite Index
HWI,AMEX COMPUTER HARDWARE INDEX
XCI,Amex Computer Technology Index (o)
IXV,Amex Consumer Service Sector Index
IXR,Amex Consumer Staples Sector Index
CTN,Amex CSFB Technology Index
IXY,Amex Cyclical/Transport Sector Index
@DFII,Amex Defense Index
DDX,Amex Disk Drive Index
DRG,Amex Drug Index
RPE,Amex Electric Power & Natural Gas
IXE,Amex Energy Sector Index
@AXES,AMEX ENVIRONMENTAL SERVICE
DGE,AMEX EQUAL WEIGHTED PHARMACEUTICAL INDEX
IXM,Amex Financial Sector Index
HUI,Amex Gold Bugs
HKX,Amex Hong Kong 30 Index
HKO,Amex Hong Kong Options Index
IXI2,Amex Industrial Sector Index
JPN,Amex Japan Index
MXY,Amex Mexico Index
CMR,Amex MS Consumer Index
HMO,Amex MS Healthcare Payer Index
RXP,Amex MS Healthcare Products Index
