AUD/USD	                                                       AUDUSD        
CAD/GBP	                                                       CADGBP        
EUR/CHF	                                                       EURCHF        
EUR/GBP	                                                       EURGBP        
EUR/USD	                                                       EURUSD        
EUR/JPY	                                                       EURJPY        
GBP/CAD	                                                       GBPCAD        
GBP/USD	                                                       GBPUSD        
GBP/JPY	                                                       GBPJPY        
USD/CHF	                                                       USDCHF        
USD/JPY	                                                       USDJPY        
AUD/CAD	                                                       AUDCAD        
AUD/CHF	                                                       AUDCHF        
AUD/EUR	                                                       AUDEUR        
AUD/GBP	                                                       AUDGBP        
AUD/JPY	                                                       AUDJPY        
AUD/NZD	                                                       AUDNZD        
AUD/SGD	                                                       AUDSGD        
CAD/CHF	                                                       CADCHF        
CAD/JPY	                                                       CADJPY        
CHF/JPY	                                                       CHFJPY        
EUR/AUD	                                                       EURAUD        
EUR/CAD	                                                       EURCAD        
EUR/CZK	                                                       EURCZK        
EUR/DKK	                                                       EURDKK        
EUR/HUF	                                                       EURHUF        
EUR/MXN	                                                       EURMXN        
EUR/NOK	                                                       EURNOK        
EUR/NZD	                                                       EURNZD        
EUR/PLN	                                                       EURPLN        
EUR/SEK	                                                       EURSEK        
EUR/SGD	                                                       EURSGD        
GBP/AUD	                                                       GBPAUD        
GBP/CHF	                                                       GBPCHF        
GBP/CZK	                                                       GBPCZK        
GBP/DKK	                                                       GBPDKK        
GBP/EUR	                                                       GBPEUR        
GBP/HUF	                                                       GBPHUF        
GBP/MXN	                                                       GBPMXN        
GBP/NOK	                                                       GBPNOK        
GBP/NZD	                                                       GBPNZD        
GBP/PLN	                                                       GBPPLN        
GBP/SEK	                                                       GBPSEK        
GBP/SGD	                                                       GBPSGD        
GBP/ZAR	                                                       GBPZAR        
NOK/SEK	                                                       NOKSEK        
NZD/CHF	                                                       NZDCHF        
NZD/EUR	                                                       NZDEUR        
NZD/GBP	                                                       NZDGBP        
NZD/JPY	                                                       NZDJPY        
NZD/USD	                                                       NZDUSD        
SGD/JPY	                                                       SGDJPY        
USD/CAD	                                                       USDCAD        
USD/CZK	                                                       USDCZK        
USD/DKK	                                                       USDDKK        
USD/HUF	                                                       USDHUF        
USD/MXN	                                                       USDMXN        
USD/NOK	                                                       USDNOK        
USD/PLN	                                                       USDPLN        
USD/SEK	                                                       USDSEK        
USD/SGD	                                                       USDSGD        
USD/ZAR	                                                       USDZAR        
