1pm,OPM.L
1ST DENTAL LABORATORIES 10P,FDT.L
2 Ergo Group,RGO.L
21st Century Technology,C21.L
32RED,TTR.L
3I Group plc,III.L
3I Infrastructure,3IN.L
4Imprint Group,FOUR.L
600 Group plc,SIXH.L
888 Holdings,888.L
Abbey,ABBY.L
Abbeycrest plc,ACR.L
Abcam,ABC.L
Aberdeen Asian Income Fund,AAIF.L
Aberdeen Asian Small Company I T,AAS.L
ABERDEEN ASSET MANAGEMENT PLC,ADN.L
Aberdeen New Dawn I T,ABD.L
Aberdeen New Thai I T,ANW.L
Aberforth Geared,AFH.L
Aberforth Small Company I T,ASL.L
Ablon Group,ABL.L
ABondN DEV Cap,AVC.L
Abrdn All Asia,ABAA.L
ABSOLUTE RTN TST,ABRT.L
Acal plc,ACL.L
ACCESS INTELLIG GB,ACC.L
Accident Exchange Group,ACE.L
Accsys Technologies,AXS.L
Accuma Group,ACG.L
Acencia Debt Strategies Ltd,ACD.L
ACM Shipping Group,ACMG.L
Acorn Income Fd Ld Ord 25p,AIF.L
ACP CAPITAL,APL.L
Active Capital,AIT.L
Acuity VCT 2,AQT2.L
ADALTA REAL,ADAR.L
AdEPT Telecom,ADT.L
ADMIRAL GROUP GB,ADM.L
Advance Developing Mkts Tst,ADD.L
Advance Frontier Markets Fund,AFMF.L
Advance UK Trust,ADU.L
Advanced Medical Solutions,AMS.L
Advanced Power Components,APC.L
ADVENTIS GROUP GB,ATG.L
ADVFN,AFN.L
AEA Technology,AAT.L
AEC EDUCATION GB,AEC.L
Aegis Group plc,AGS.L
Aer Lingus Group,AERL.L
AFC Energy,AFC.L
AFNAT RESOURCES,AFNR.L
AFREN,AFR.L
Africa Opportunity Fund,AOF.L
African Consolidated Resources,AFCR.L
AFRICAN COPPER,ACU.L
AFRICAN DIAMONDS,AFD.L
African Eagle,AFE.L
African Medical Investments,AMEI.L
AGA Foodserve Group,AGA.L
Aggreko,AGK.L
AGI Therapeutics,AGI.L
AGRITERRA,AGTAR.L
AI Claims Sol,ACS.L
AIM Distribution Trust,AMD.L
AIM Investment,AIMA.L
Air Partner Plc Ord 5p,AIP.L
Airea,AIEA.L
Airsprung Furniture Group plc,APG.L
Aisi Realty Public,AISI.L
AKERS BIOSCIENCE,AKR.L
ALB TECH & GEN,AATG.L
Alba Mineral Resources,ALBA.L
Albany Investment Trust,ABNY.L
Albermarle & Bond Plc Ord 4p,ABM.L
ALBION DEVPT,AADV.L
ALBION PRCT VCT,AAPV.L
Alea Group Holdings (Bermuda) Ld,ALEA.L
ALEX DAV SEC,ADS.L
Alexander Mining,AXM.L
Alexandra plc,AXD.L
Alexon Group plc,AXN.L
ALKANE ENERGY PLC ORD 0.5P,ALK.L
All Points North,APNO.L
ALLERGY THERAPEUT GB,AGY.L
Alliance Pharm,APH.L
Alliance Trust,ATST.L
Allianz Dres Tst,AZD.L
Allied Gold,AGLD.L
ALLIED HLTH INT,AHI.L
Allied Irish Banks,ALBK.L
Allocate Software,ALLA.L
ALLTRUE INVEST GB,ATR.L
Alpha Pyrenees Trust,ALPH.L
Alpha Strategic,APS.L
Alpha Tiger Property Trust,ATPT.L
Alphameric plc,ALM.L
ALT NETWORKS,AN.L
Alterian Plc,ALN.L
Alternative Asset Opps PCC,TLI.L
Alternative Invest Strategies,AIS.L
ALTITUDE GRP,ALT.L
ALTONA RES,ANR.L
Alumasc Group plc,ALU.L
Amazing Holdings,AMZ.L
Amber Cap,AMBR.L
AMEC plc,AMEC.L
Amerisur Res,AMER.L
AMIAD FILTER SYS,AFS.L
Aminex,AEX.L
AMINO TECH GB,AMO.L
AMLIN,AML.L
Amphion Innovations,AMP.L
Amur Minerals Corporation,AMC.L
Andes Ener,AEN.L
Andor Technology,AND.L
Andrews Sykes Group plc,ASY.L
Angel Biotechnology Holdings,ABH.L
ANGEL MINING,ANGM.L
Angelesey Mining,AYM.L
ANGLE PLC GB,AGL.L
Anglo & Overseas,AOT.L
Anglo American plc ord $0.50,AAL.L
Anglo Pacific Resources plc,APF.L
Anglo-Eastern Plantations plc,AEP.L
Animalcare Group,ANCR.L
Anite Group Inc Ord 10p,AIE.L
Ant,ANTP.L
ANTISOMA ORDINARY SHARE I:GB00,ASM.L
Antofagasta,ANTO.L
ANTRIM ENERGY CA,AEY.L
Aortech Intl Plc Ord 25p,AOR.L
Apace Media,APA.L
API Group plc,API.L
Aqua Bounty Technologies,ABTX.L
AQUARIUS PLATIUM LD SHS,AQP.L
Arbuthnot Bk Gr,ARBB.L
ARCHIAL GROUP,ARL.L
ARCHIPELAGO RES,AR.L
Arcontech Grp,ARC.L
Arden Partners,ARDN.L
Arena Leisure,ARE.L
Arian Silver Crp,AGQ.L
Ariana Resources,AAU.L
ARK THERAPEUTICS GB,AKT.L
Arm Holdings,ARM.L
Armor Designs,ADID.L
Armour Group plc,AMR.L
Arriva Plc,ARI.L
Artemis Alpha Trust,ATS.L
ARTEMIS VCT,AAM.L
ARTEON,ARTO.L
Artilium,ARTA.L
Artisan Uk Plc Ord .05p,ART.L
Ascent Resources,AST.L
ASG MEDIA,ASG.L
Ashley (Laura) Holdings plc,ALY.L
Ashley House,ASH.L
Ashmore Global Opp,AGOL.L
Ashmore Group,ASHM.L
Ashtead Group plc,AHT.L
ASIA DIGITAL HDS,ADH.L
Asia Resources,ASR.L
ASIAN GRT PRP,AGP.L
ASOS,ASC.L
Asset Man. I.T.,AMN.L
AssetCo,ASTO.L
Assoc Brit Foods plc,ABF.L
Associated Brit Engineering,ASBE.L
Assura Group,AGR.L
ASTAIRE GRP,ASTR.L
ASTEK GROUP,AKG.L
Asterand,ATD.L
Astrazeneca Plc Ord Shs $0.25,AZN.L
Atelis,ATEL.L
ATH RESOURCES,ATH.L
Athelney Trust Plc Ord 25p,ATY.L
Atkins WS,ATK.L
ATLANTIC Gbl,ATL.L
Atlantis Japan,AJG.L
Atlas Estates,ATLS.L
Augean,AUG.L
Aukett Assoc.,AUK.L
Aurelian Oil & Gas,AUL.L
Aurora Inv. Tst.,ARR.L
Aurora Russia,AURR.L
AUTOCLENZ HOLD,ACZ.L
Autologic Hldgs,ALG.L
Autonomy Corporation PLC,AUTN.L
Avacta Group,AVCT.L
Avanti Capital,AVA.L
Avanti Communications Group,AVN.L
Avarae Global Coins,AVR.L
Avesco Group,AVS.L
AVEVA GROUP,AVV.L
Avingtrans,AVG.L
Avis Europe,AVE.L
AVISEN,AVI.L
Aviva,AV.L
Avocet Mining,AVM.L
Avon Rubber Co plc,AVON.L
AXA Property Trust,APT.L
Axis-Shield Diagnostics plc,ASD.L
B.P. Marsh & Partners,BPM.L
Babcock Int'l Group plc,BAB.L
BAE SYSTEMS PLC,BA.L
Bailey (C.H.),BLEY.L
Baill. G. Jap.,BGFD.L
Baill. G. Shin.,BGS.L
Balfour Beatty,BBY.L
Baltic Oil Terminals,BTC.L
BANGO,BGO.L
Bank Ireland,BKIR.L
