CSI#,MONTH CODE,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,,,START DATE,,,,,FOOTNOTE,
2,54,LC,CME,Cattle-Live(Floor+Electronic Combined),4 USD,40000 lb,0.01 USD / lb,USD,,,19660209,,,,,FN2,
3,54,CC,CSCE,Cocoa,10 USD,10 tonnes,USD / tonne,USD,,,19651230,,,,,FN3,
4,54,LH,CME,Hogs-Lean(Floor+Electronic Combined),4 USD,40000 lb,0.01 USD / lb,USD,,,19660301,,,,,FN4,
5,54,PB,CME,Pork Bellies (Floor+Electronic Combined),4 USD,40000 lb,0.01 USD / lb,USD,,,19660516,,,,,,,
7,54,CT,NYCE,Cotton #2,5 USD,50000 lb,0.01 USD / lb,USD,,,19730402,,,,,,,
8,54,HG,COMEX,CopperHG (Floor Trading Only),2.50 USD,25000 lb,0.01 USD / lb,USD,,,19740605,,,,,FN8,
9,54,C,CBT,Corn (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19590701,,,,,,,
10,61,KC,CSCE,Coffee,3.75 USD,37500 lb,0.01 USD / lb,USD,,,19730402,,,,,,,
11,54,O,CBT,Oats (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19700105,,,,,,,
12,54,OJ,NYCE,Orange Juice,1.50 USD,15000 lb,0.01 USD / lb,USD,,,19760109,,,,,,,
13,54,PL,NYMEX,Platinum  (Floor Trading Only),5 USD,50 toz,USD / toz,USD,,,19770826,,,,,,,
16,54,SI,COMEX,Silver (Floor Trading Only),5 USD,5000 toz,0.01 USD / toz,USD,,,19671206,,,,,,,
17,54,S,CBT,Soybeans (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19590701,,,,,,,
18,54,SM,CBT,Soybean Meal (Floor Trading Only),10 USD,100 short tons,USD / short ton,USD,,,19590701,,,,,FN18,
19,54,BO,CBT,Soybean Oil (Floor Trading Only),6 USD,60000 lb,0.01 USD / lb,USD,,,19660523,,,,,FN19,
20,54,SB,CSCE,Sugar #11World  (Floor Trading Only),11.20 USD,112000 lb,0.01 USD / lb,USD,,,19651230,,,,,FN20,
21,54,W,CBT,Wheat (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,,,19660516,,,,,FN21,
22,54,KW,KCBT,Wheat-Kansas City,6.25 USD,5000 bu,0.01 USD / bu,USD,,,19730402,,,,,FN22,
23,54,MP,CME,Mexican Peso(Floor+Electronic Combined),5 USD,500000 MXN,USD,USD,,,19950425,,,,,,,
25,54,SF,CME,Swiss Franc -(Floor+Electronic Combined),12.50 USD,125000 CHF,USD,USD,,,19720523,,,,,FN25,
26,54,BP,CME,British Pound (Floor+Electronic Combined),6.25 USD,62500 GBP,USD,USD,,,19700101,,,,,FN26,
27,61,LB,CME,Lumber  (Floor+Electronic Combined),11 USD,110000 bd ft,USD / 1000 bd ft,USD,,,19770826,,,,,FN27,
30,54,GC,COMEX,Gold (Floor Trading Only),10 USD,100 toz,USD / toz,USD,,,19750102,,,,,,,
33,54,FC,CME,Cattle-Feeder (Floor+Electronic Combined),5 USD,50000 lb,0.01 USD / lb,USD,,,19770902,,,,,FN33,
41,54,TB,CME,T-Bill-U.S. 3 Mth (Floor+Electronic Combined),2.50 USD,1000000 USD,USD / basis point,USD,,,19770801,,,,,FN41,
42,54,SE,CSCE,Sugar #14(Domestic),11.20 USD,112000 lb,0.01 USD / lb,USD,,,19770502,,,,,,,
44,54,US,CBT,T-Bond-U.S.  (Floor+Electronic Combined),3.125 USD,100000 USD,points,USD,,,19871117,,,,,FN44,
49,54,LCC,EURONEXT,Cocoa (LCE),1 GBP,10 tonnes,GBP / tonne,GBP,,,19731022,,,,,,,
58,54,RS,WCE,Rapeseed(Canola),2 CAD,20 tonnes,CAD / tonne,CAD,,,19710908,,,,,,,
62,54,WW,WCE,Wheat-Feed(Domestic),0.20 CAD,20 tonnes,CAD / tonne,CAD,,,19770802,,,,,,,
64,54,CD,CME,Canadian Dollar (Floor+Electronic Combined),10 USD,100000 CAD,USD,USD,,,19720523,,,,,FN64,
65,54,JY,CME,Japanese Yen (Floor+Electronic Combined),12.50 USD,12500000 JPY,USD / 100 JPY,USD,,,19720517,,,,,FN65,
66,54,AD,CME,Australian Dollar (Floor+Electronic Combined),10 USD,100000 AUD,USD,USD,,,19861125,,,,,FN66,
68,54,MW,MGE,Wheat-Spring,6.25 USD,5000 bu,0.01 USD / bu,USD,,,19741218,,,,,,,
69,54,PA,NYMEX,Palladium  (Floor Trading Only),1 USD,100 toz,USD / toz,USD,,,19830718,,,,,FN69,
74,54,FF,CBT,Fed Fund Rate(1Mth)(Floor+Electronic Combined),4.167 USD,5000000 USD,USD / basis point,USD,,,19881003,,,,,,,
79,54,FCH,EURONEXT,CAC 40 Index  (MATIF),1 EUR,10 EUR x Index,points,EUR,,,19900301,,,,,,,
87,54,BAX,ME,Canadian Bankers' Acceptance-3Mth  (24 hr),2.5 CAD,1000000 CAD,CAD / basis point,CAD,,,20070426,,,,,,,
88,54,CGB,ME,Canadian Govt Bond 10Yr  (Floor+Electronic Combined),10 CAD,100000 CAD,percent,CAD,,,20070426,,,,,,,
89,54,HO,NYMEX,Heating Oil #2 (Floor Trading Only),4.20 USD,42000 gal,USD / gal,USD,,,19781115,,,,,FN89,
99,54,NK,CME,Nikkei 225 Index (Floor+Electronic Combined),5 USD,5 USD x Index,points,USD,,,19900925,,,,,,,
100,54,R,NYFE,Russell 1000 Index,5 USD,500 USD x Index,points,USD,,,19990305,,,,,,,
101,54,CR,NYFE,Continuous Commodity Index(CRB),5 USD,500 USD x Index,points,USD,,,19740102,,,,,,,
102,54,RL,CME,Russell 2000 Index (Floor Trading Only),5 USD,500 USD x Index,points,USD,,,19930204,,,,,,,
104,54,MD,CME,S&P MidCap 400 Index (Floor Trading Only),5 USD,500 USD x Index,points,USD,,,19920213,,,,,,,
109,54,YE,CBT,Mini Eurodollar(3Mth) (MACE),1.250 USD,500000 USD,USD / basis point,USD,,,19811209,,,,,,,
110,54,XW,CBT,Mini Wheat (MACE),1.25 USD,1000 bu,0.01 USD / bu,USD,,,19660516,,,,,,,
111,54,XC,CBT,Mini Corn (MACE),1.25 USD,1000 bu,0.01 USD / bu,USD,,,19590701,,,,,,,
112,54,XS,CBT,Mini Soybeans (MACE),1.25 USD,1000 bu,0.01 USD / bu,USD,,,19590701,,,,,,,
119,54,HSI,HKEX,Hang Seng Index (HKFE)(Combined),50 HKD,50 HKD x Index,points,HKD,,,19861231,,,,,,,
121,54,SRS,SICOM,Rubber RSS1,0.5 SGD,5 tonnes,0.01 SGD / kg,SGD,,,19810409,,,,,FN121,
127,54,SF2,CME,Swiss Franc (Floor Trading Only),12.50 USD,125000 CHF,USD,USD,,,19720523,,,,,,,
128,54,BP2,CME,British Pound  (Floor Trading Only),6.25 USD,62500 GBP,USD,USD,,,19700101,,,,,,,
129,54,CD2,CME,Canadian Dollar (Floor Trading Only),10 USD,100000 CAD,USD,USD,,,19720523,,,,,,,
131,54,FDX,EUREX,Dax Index,2.5 EUR,25 EUR x Index,points,EUR,,,19901126,,,,,,,
136,54,LCO,ICE,Crude-Brent(Combined) (IPE),10 USD,1000 bbl,USD / bbl,USD,,,19890228,,,,,,,
141,54,ED,CME,Eurodollar-3 Mth -Globex(Floor+Electronic Combined),2.5 USD,1000000 USD,USD / basis point,USD,,,19811209,,,,,,,
142,54,EM,CME,LIBOR(1Mth) (Floor+Electronic Combined),2.50 USD,3000000 USD,USD / basis point,USD,,,19900326,,,,,,,
144,54,US2,CBT,T-Bond-U.S.  (Floor Trading Only),3.125 USD,100000 USD,points,USD,,,19871117,,,,,,,
145,54,JAU,TCE,Gold-Tokyo (Day Session),1000 JPY,1 kg,JPY / gram,JPY,,,19830926,,,,,,,
148,54,LKD,EURONEXT,Coffee-Robusta (LCE),5 USD,5 tonnes,USD / tonne,USD,,,19681202,,,,,,,
149,54,SP,CME,S&P 500 Index (Floor Trading Only),2.50 USD,250 USD x Index,points,USD,,,19500103,,,,,FN149,
150,54,TY,CBT,T-Note-U.S. 10 Yr w/Prj A (Floor+Electronic Combined)X,15.625 USD,100000 USD,points,USD,,,19950810,,,,,,,
157,54,JTI,TSE,TOPIX Index (combined sessions),1000 JPY,10000 JPY x Index,points,JPY,,,19900403,,,,,,,
158,54,JGB,TSE,Japanese 10yr Govt Bond (Floor Only),10000 JPY,100000000 JPY,percent,JPY,,,19940316,,,,,,,
173,54,FSS,EURONEXT,Sterling Rate-3Mth (LIFFE),1.25 GBP,500000 GBP,GBP / basis point,GBP,,,19950816,,,,,,,
