CSI#,,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,NORMAL MONTHS,SWITCHING MONTHS,START DATE,HOURS,BIAS,,TICK SIZE,FOOTNOTE,FULL POINT VALUE
2,,LC,CME,Cattle-Live(Floor+Electronic Combined),4 USD,40000 lb,0.01 USD / lb,USD,"1,2,3,4,6,8,10,12","5,7,11",19641130,08:45 - 12:45,,,0.025,,400 USD
3,,CC,CSCE,Cocoa,10 USD,10 tonnes,USD / tonne,USD,"3,5,7,9,12",,19651230,09:30 - 15:00,,,1,FN3,10 USD
4,,LH,CME,Hogs-Lean(Floor+Electronic Combined),4 USD,40000 lb,0.01 USD / lb,USD,"2,4,5,6,7,8,10,12",,19660228,08:45 - 13:00,,,0.025,FN4,400 USD
5,,PB,CME,Pork Bellies (Floor+Electronic Combined),4 USD,40000 lb,0.01 USD / lb,USD,"2,3,5,7,8",,19630920,10:10 - 14:00,,,0.025,FN5,400 USD
7,,CT,NYCE,Cotton #2,5 USD,50000 lb,0.01 USD / lb,USD,"3,5,7,10,12",,19670322,10:15 - 14:40,,,0.01,FN7,500 USD
8,,HG,COMEX,CopperHG (Floor Trading Only),2.50 USD,25000 lb,0.01 USD / lb,USD,"3,5,7,9,10,12","1,2,4,6,8,11",19660103,08:10 - 14:00,,,0.05,,250 USD
9,,C,CBT,Corn (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12","1,11",19490103,09:30 - 13:15,,,0.25,FN9,50 USD
10,,KC,CSCE,Coffee,3.75 USD,37500 lb,0.01 USD / lb,USD,"3,5,7,9,12",,19720816,08:30 - 14:00,,,0.05,,375 USD
11,,O,CBT,Oats (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19490103,09:30 - 13:15,,,0.25,FN11,50 USD
12,,OJ,NYCE,Orange Juice,1.50 USD,15000 lb,0.01 USD / lb,USD,"1,3,5,7,9,11",,19661026,10:15 - 14:15,,,0.05,,150 USD
13,,PL,NYMEX,Platinum  (Floor Trading Only),5 USD,50 toz,USD / toz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19640114,09:10 - 14:30,,,0.1,FN13,50 USD
16,,SI,COMEX,Silver (Floor Trading Only),5 USD,5000 toz,0.01 USD / toz,USD,"3,5,7,9,12",,19630612,08:25 - 13:25,,,0.1,FN16,50 USD
17,,S,CBT,Soybeans (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"1,3,5,7,8,9,11",,19490103,09:30 - 13:15,,,0.25,FN17,50 USD
18,,SM,CBT,Soybean Meal (Floor Trading Only),10 USD,100 short tons,USD / short ton,USD,"1,3,5,7,8,9,10,12",,19510829,09:30 - 13:15,,,0.1,FN18,100 USD
19,,BO,CBT,Soybean Oil (Floor Trading Only),6 USD,60000 lb,0.01 USD / lb,USD,"1,3,5,7,8,9,10,12",,19500717,09:30 - 13:15,,,0.01,,600 USD
20,,SB,CSCE,Sugar #11World  (Floor Trading Only),11.20 USD,112000 lb,0.01 USD / lb,USD,"3,5,7,10",,19651230,10:00 - 13:45,,,0.01,,1120 USD
21,,W,CBT,Wheat (Floor Trading Only),6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19220103,09:30 - 13:15,,,0.25,FN21,50 USD
22,,KW,KCBT,Wheat-Kansas City,6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19660516,10:30 - 14:15,,,0.25,FN22,50 USD
23,,MP,CME,Mexican Peso(Floor+Electronic Combined),5 USD,500000 MXN,USD,USD,"1,3,6,9,12","4,5,8,11",19950425,17:00 - 16:00,,,0.000025,FN23,500000 USD
25,,SF,CME,Swiss Franc -(Floor+Electronic Combined),12.50 USD,125000 CHF,USD,USD,"3,6,9,12",,19720516,17:00 - 16:00,,,0.0001,,125000 USD
26,,BP,CME,British Pound (Floor+Electronic Combined),6.25 USD,62500 GBP,USD,USD,"3,6,9,12",,19700101,17:00 - 16:00,,,0.0001,,62500 USD
27,,LB,CME,Lumber  (Floor+Electronic Combined),11 USD,110000 bd ft,USD / 1000 bd ft,USD,"1,3,5,7,9,11",,19691001,17:00 - 16:00,,,0.1,FN27,110 USD
28,,ZG,CBT,Gold 100 oz,10 USD,100 oz,USD / oz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20041006,08:20 - 14:40,,,0.1,,100 USD
30,,GC,COMEX,Gold (Floor Trading Only),10 USD,100 toz,USD / toz,USD,"2,4,6,8,10,12","1,3,5,7,9,11",19750102,08:20 - 13:30,,,0.1,FN30,100 USD
33,,FC,CME,Cattle-Feeder (Floor+Electronic Combined),5 USD,50000 lb,0.01 USD / lb,USD,"1,3,4,5,8,9,10,11",,19711130,08:45 - 12:45,,,0.025,FN33,500 USD
37,,ZI,CBT,Silver 5000 oz,5 USD,5000 oz,USD / oz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,20041006,08:25 - 14:25,,,0.001,,5000 USD
41,,TB,CME,T-Bill-U.S. 3 Mth (Floor+Electronic Combined),2.50 USD,1000000 USD,USD / basis point,USD,"3,6,9,12",,19760106,07:30 - 14:00,,,0.005,,2500 USD
42,,SE,CSCE,Sugar #14(Domestic),11.20 USD,112000 lb,0.01 USD / lb,USD,"1,3,5,7,9,11",,19770502,08:30 - 14:00,,,0.01,FN42,1120 USD
44,,US,CBT,T-Bond-U.S.  (Floor+Electronic Combined),3.125 USD,100000 USD,points,USD,"3,6,9,12",,19770822,17:30 - 16:00,,,0.015625,FN44,1000 USD
49,,LCC,EURONEXT,Cocoa (LCE),1 GBP,10 tonnes,GBP / tonne,GBP,"3,5,7,9,12",,19680102,09:30 - 16:55,,,1,FN49,10 GBP
51,,LWB,EURONEXT,Wheat (LCE),1 GBP,100 tonnes,GBP / tonne,GBP,"1,3,5,7,9,11",,19680102,10:00 - 16:15,,,0.05,FN51,100 GBP
58,,RS,WCE,Rapeseed(Canola),2 CAD,20 tonnes,CAD / tonne,CAD,"1,3,5,7,8,11","9",19691231,09:30 - 13:15,,,0.1,FN58,20 CAD
62,,WW,WCE,Wheat-Feed(Domestic),0.20 CAD,20 tonnes,CAD / tonne,CAD,"3,5,7,10,12",,19740806,09:30 - 13:15,,,0.01,FN62,20 CAD
64,,CD,CME,Canadian Dollar (Floor+Electronic Combined),10 USD,100000 CAD,USD,USD,"3,6,9,12",,19720516,17:00 - 16:00,,,0.0001,FN64,100000 USD
65,,JY,CME,Japanese Yen (Floor+Electronic Combined),12.50 USD,12500000 JPY,USD / 100 JPY,USD,"3,6,9,12",,19720516,17:00 - 16:00,,,0.0001,FN65,125000 USD
66,,AD,CME,Australian Dollar (Floor+Electronic Combined),10 USD,100000 AUD,USD,USD,"3,6,9,12",,19861125,17:00 - 16:00,,,0.0001,,100000 USD
68,,MW,MGE,Wheat-Spring,6.25 USD,5000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19670103,10:30 - 14:14,,,0.25,,50 USD
69,,PA,NYMEX,Palladium  (Floor Trading Only),1 USD,100 toz,USD / toz,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19770103,08:30 - 13:00,,,0.05,,100 USD
70,,JEY,TFX,Euroyen-3Mth-TFOREX(TIFFE) (Evening+Floor Combined),250 JPY,100000000 JPY,JPY / basis point,JPY,"3,6,9,12",,19890630,15:30 - 15:30,,,0.005,,250000 JPY
74,,FF,CBT,Fed Fund Rate(1Mth)(Floor+Electronic Combined),4.167 USD,5000000 USD,USD / basis point,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19881003,17:30 - 16:00,,,0.0025,,4167 USD
79,,FCH,EURONEXT,CAC 40 Index  (MATIF),1 EUR,10 EUR x Index,points,EUR,"3,6,9,12","1,2,4,5,7,8,10,11",19880818,08:00 - 22:00,,,0.5,,10 EUR
87,,BAX,ME,Canadian Bankers' Acceptance-3Mth  (24 hr),2.5 CAD,1000000 CAD,CAD / basis point,CAD,"3,6,9,12","1,2,4,5,7,8,10",19880422,08:00 - 15:00,,,0.005,,2500 CAD
88,,CGB,ME,Canadian Govt Bond 10Yr  (Floor+Electronic Combined),10 CAD,100000 CAD,percent,CAD,"3,6,9,12",,19890915,08:20 - 15:00,,,0.01,FN88,1000 CAD
89,,HO,NYMEX,Heating Oil #2 (Floor Trading Only),4.20 USD,42000 gal,USD / gal,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19781115,10:00 - 15:05,,,0.0001,,42000 USD
99,,NK,CME,Nikkei 225 Index (Floor+Electronic Combined),5 USD,5 USD x Index,points,USD,"3,6,9,12",,19900925,09:00 - 16:15,,,5,,5 USD
100,,R,NYFE,Russell 1000 Index,5 USD,500 USD x Index,points,USD,"3,6,9,12",,19990305,03:00 - 16:15,,,0.05,,500 USD
101,,CR,NYFE,Continuous Commodity Index(CRB),5 USD,500 USD x Index,points,USD,"1,2,4,6,8,11",,19740102,09:40 - 14:40,,,0.05,,500 USD
102,,RL,CME,Russell 2000 Index (Floor Trading Only),5 USD,500 USD x Index,points,USD,"3,6,9,12",,19930204,08:30 - 15:15,,,0.05,,500 USD
104,,MD,CME,S&P MidCap 400 Index (Floor Trading Only),5 USD,500 USD x Index,points,USD,"3,6,9,12",,19920213,09:30 - 16:15,,,0.05,,500 USD
109,,YE,CBT,Mini Eurodollar(3Mth) (MACE),1.250 USD,500000 USD,USD / basis point,USD,"3,6,9,12",,19811209,08:00 - 16:00,,,0.005,,1250 USD
110,,XW,CBT,Mini Wheat (MACE),1.25 USD,1000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19660516,09:30 - 13:30,,,0.125,,10 USD
111,,XC,CBT,Mini Corn (MACE),1.25 USD,1000 bu,0.01 USD / bu,USD,"3,5,7,9,12",,19590701,09:30 - 13:30,,,0.125,,10 USD
112,,XS,CBT,Mini Soybeans (MACE),1.25 USD,1000 bu,0.01 USD / bu,USD,"1,3,5,7,8,11","9",19590701,09:30 - 13:30,,,0.125,,10 USD
119,,HSI,HKEX,Hang Seng Index (HKFE)(Combined),50 HKD,50 HKD x Index,points,HKD,"1,2,3,4,5,6,7,8,9,10,11,12",,19860506,09:45 - 16:15,,,1,,50 HKD
121,,SRS,SICOM,Rubber RSS1,0.5 SGD,5 tonnes,0.01 SGD / kg,SGD,"1,2,3,4,5,6,7,8,9,10,11,12",,19810406,10:00 - 17:30,,,0.25,FN121,50 SGD
124,,YGW,SFE,Wool(Greasy),25 AUD,2500 kg,0.01 AUD / kg,AUD,"2,4,6,8,10,12",,19950313,10:30 - 16:00,,,1,,25 AUD
127,,SF2,CME,Swiss Franc (Floor Trading Only),12.50 USD,125000 CHF,USD,USD,"3,6,9,12",,19720516,07:20 - 14:00,,,0.0001,,125000 USD
128,,BP2,CME,British Pound  (Floor Trading Only),6.25 USD,62500 GBP,USD,USD,"3,6,9,12",,19700101,07:20 - 14:00,,,0.0001,,62500 USD
129,,CD2,CME,Canadian Dollar (Floor Trading Only),10 USD,100000 CAD,USD,USD,"3,6,9,12",,19720516,07:20 - 14:00,,,0.0001,,100000 USD
130,,RR,CBT,Rice(Rough) (Floor Trading Only),2 USD,2000 cwt,USD / cwt,USD,"1,3,5,7,9,11",,19860820,10:15 - 14:30,,,0.005,FN130,2000 USD
131,,FDX,EUREX,Dax Index,2.5 EUR,25 EUR x Index,points,EUR,"3,6,9,12",,19901123,09:30 - 16:00,,,0.5,,25 EUR
134,,LGO,ICE,Gas Oil(Combined) (IPE),1 USD,100 tonnes,USD / tonne,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19810406,08:00 - 17:27,,,0.05,,100 USD
136,,LCO,ICE,Crude-Brent(Combined) (IPE),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19880623,01:00 - 22:00,,,0.01,,1000 USD
141,,ED,CME,Eurodollar-3 Mth -Globex(Floor+Electronic Combined),2.5 USD,1000000 USD,USD / basis point,USD,"1,3,4,6,7,9,12","2,5,8,10,11",19811209,07:20 - 14:00,,,0.0025,,2500 USD
142,,EM,CME,LIBOR(1Mth) (Floor+Electronic Combined),2.50 USD,3000000 USD,USD / basis point,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19900326,08:20 - 15:00,,,0.0025,,2500 USD
144,,US2,CBT,T-Bond-U.S.  (Floor Trading Only),3.125 USD,100000 USD,points,USD,"3,6,9,12",,19770822,07:20 - 14:00,,,0.015625,FN144,1000 USD
145,,JAU,TCE,Gold-Tokyo (Day Session),1000 JPY,1 kg,JPY / gram,JPY,"2,4,6,8,10,12",,19820329,09:00 - 15:30,,,1,,1000 JPY
148,,LKD,EURONEXT,Coffee-Robusta (LCE),5 USD,5 tonnes,USD / tonne,USD,"1,3,5,7,9,11",,19680102,09:45 - 17:00,,,1,FN148,5 USD
149,,SP,CME,S&P 500 Index (Floor Trading Only),2.50 USD,250 USD x Index,points,USD,"3,6,9,12",,19500103,08:30 - 15:15,,,0.05,FN149,250 USD
150,,TY,CBT,T-Note-U.S. 10 Yr w/Prj A (Floor+Electronic Combined)X,15.625 USD,100000 USD,points,USD,"3,6,9,12",,19820503,17:30 - 16:00,,,0.015625,FN150,1000 USD
153,,HC,NYMEX,HO/CLdif(OptOnly),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19970304,09:50 - 15:10,,,0.01,,1000 USD
157,,JTI,TSE,TOPIX Index (combined sessions),1000 JPY,10000 JPY x Index,points,JPY,"3,6,9,12",,19900403,16:30 - 15:10,,,0.5,,10000 JPY
158,,JGB,TSE,Japanese 10yr Govt Bond (Floor Only),10000 JPY,100000000 JPY,percent,JPY,"3,6,9,12",,19900404,09:00 - 15:00,,,0.01,,1000000 JPY
173,,FSS,EURONEXT,Sterling Rate-3Mth (LIFFE),1.25 GBP,500000 GBP,GBP / basis point,GBP,"3,6,9,12","1,2,4,5,7,8,10,11",19821104,08:05 - 17:57,,,0.005,FN173,1250 GBP
174,,FLG,EURONEXT,Gilt-Long(8.75-13yr) (LIFFE),10 GBP,100000 GBP,percent,GBP,"3,6,9,12",,19821118,08:00 - 18:00,,,0.01,FN174,1000 GBP
180,,FYB,EURONEXT,Japanese Govt Bond (LIFFE),10000 JPY,100000000 JPY,percent,JPY,"3,6,9,12",,19870713,03:10 - 11:05,,,0.01,FN180,1000000 JPY
183,,YI,CBT,Silver-New York Based,1 USD,1000 oz,0.01 USD / oz,USD,"3,5,7,9,12","1,4,10",19830415,09:05 - 14:40,,,0.1,,10 USD
185,,FES,EURONEXT,Euro Swiss Franc (LIFFE),2.5 CHF,1000000 CHF,CHF / basis point,CHF,"3,6,9,12",,19910207,08:10 - 17:55,,,0.005,,2500 CHF
186,,AB,WCE,Barley(Western),0.20 CAD,20 tonnes,CAD / tonne,CAD,"3,5,7,10,12",,19830228,09:30 - 13:15,,,0.1,FN186,20 CAD
188,,CL,NYMEX,Crude Oil Light (Floor Trading Only),10 USD,1000 bbl,USD / bbl,USD,"1,2,3,4,5,6,7,8,9,10,11,12",,19830330,09:00 - 15:10,,,0.01,,1000 USD
