III.L,3i Group
3IN.L,3i Infrastructure
888.L,888 Holdings
AA.L,AA
ASL.L,Aberforth Smaller Companies Trust
ACA.L,Acacia Mining
ADM.L,Admiral Group
AGK.L,Aggreko
ALD.L,Aldermore Group
ALFA.L,Alfa Financial Software Holdings
ATST.L,Alliance Trust
AAL.L,Anglo American
ANTO.L,Antofagasta
ASCL.L,Ascential
ASHM.L,Ashmore Group
AHT.L,Ashtead Group
ABF.L,Associated British Foods
AGR.L,Assura
AZN.L,AstraZeneca
AUTO.L,Auto Trader Group
AVV.L,Aveva Group
AV.L,Aviva
BME.L,B&M European Value Retail S.A. (..
BAB.L,Babcock International Group
BA.L,BAE Systems
BBY.L,Balfour Beatty
BNKR.L,Bankers Inv Trust
BARC.L,Barclays
BAG.L,Barr (A.G.)
BDEV.L,Barratt Developments
BBA.L,BBA Aviation
BEZ.L,Beazley
BWY.L,Bellway
BKG.L,Berkeley Group Holdings (The)
BGEO.L,BGEO Group
BLT.L,BHP Billiton
BYG.L,Big Yellow Group
BOY.L,Bodycote
BOK.L,Booker Group
BVS.L,Bovis Homes Group
BP.L,BP
BRW.L,Brewin Dolphin Holdings
BATS.L,British American Tobacco
BTEM.L,British Empire Trust
BLND.L,British Land Company
BVIC.L,Britvic
BWNG.L,Brown (N.) Group
BT.A.L,BT Group
BTG.L,BTG
BNZL.L,Bunzl
BRBY.L,Burberry Group
CNE.L,Cairn Energy
CLDN.L,Caledonia Investments
CPI.L,Capita
CAPC.L,Capital & Counties Properties
CARD.L,Card Factory
CCL.L,Carnival
CEY.L,Centamin (DI)
CNA.L,Centrica
CINE.L,Cineworld Group
CTY.L,City of London Inv Trust
CKN.L,Clarkson
CBG.L,Close Brothers Group
CLI.L,CLS Holdings
COA.L,Coats Group
COB.L,Cobham
CCH.L,Coca-Cola HBC AG (CDI)
CPG.L,Compass Group
CCC.L,Computacenter
CTEC.L,Convatec Group
CSP.L,Countryside Properties
CWK.L,Cranswick
CRST.L,Crest Nicholson Holdings
CRH.L,CRH
CRDA.L,Croda International
CYBG.L,CYBG
DJAN.L,Daejan Holdings
DCG.L,Dairy Crest Group
DCC.L,DCC
DPH.L,Dechra Pharmaceuticals
DLN.L,Derwent London
DGE.L,Diageo
DTY.L,Dignity
DPLM.L,Diploma
DLG.L,Direct Line Insurance Group
DC.L,Dixons Carphone
DOM.L,Domino's Pizza Group
DRX.L,Drax Group
DNLM.L,Dunelm Group
EZJ.L,easyJet
EDIN.L,Edinburgh Inv Trust
ELTA.L,Electra Private Equity
ECM.L,Electrocomponents
ELM.L,Elementis
ETO.L,Entertainment One Limited
EQN.L,Equiniti Group
ESNT.L,Essentra
ESUR.L,esure Group
ERM.L,Euromoney Institutional Investor
EVR.L,Evraz
EXPN.L,Experian
FCPT.L,F&C Commercial Property Trust Ltd.
FDM.L,FDM Group (Holdings)
FERG.L,Ferguson
FXPO.L,Ferrexpo
FCSS.L,Fidelity China Special Situations
FEV.L,Fidelity European Values
FDSA.L,Fidessa Group
FGT.L,Finsbury Growth & Income Trust
FGP.L,FirstGroup
FSJ.L,Fisher (James) & Sons
FRCL.L,Foreign and Colonial Inv Trust
FRES.L,Fresnillo
GFS.L,G4S
GFRD.L,Galliford Try
GCP.L,GCP Infrastructure Investments Ltd
GSS.L,Genesis Emerging Markets Fund Lt..
GNS.L,Genus
GKN.L,GKN
GSK.L,GlaxoSmithKline
GLEN.L,Glencore
GOG.L,Go-Ahead Group
GFTU.L,Grafton Group Units
GRI.L,Grainger
GPOR.L,Great Portland Estates
UKW.L,Greencoat UK Wind
GNC.L,Greencore Group
GNK.L,Greene King
GRG.L,Greggs
GVC.L,GVC Holdings
HFD.L,Halfords Group
HLMA.L,Halma
HMSO.L,Hammerson
HSTN.L,Hansteen Holdings
HVPE.L,HarbourVest Global Private Equit..
HL.L,Hargreaves Lansdown
HSTG.L,Hastings Group Holdings
HAS.L,Hays
HICL.L,HICL Infrastructure Company Ltd
HIK.L,Hikma Pharmaceuticals
HILS.L,Hill & Smith Holdings
HSX.L,Hiscox Limited (DI)
HOC.L,Hochschild Mining
HSV.L,Homeserve
HWDN.L,Howden Joinery Group
HSBA.L,HSBC Holdings
HTG.L,Hunting
IBST.L,Ibstock
IGG.L,IG Group Holdings
IMI.L,IMI
IMB.L,Imperial Brands
INCH.L,Inchcape
INDV.L,Indivior
INF.L,Informa
ISAT.L,Inmarsat
IHG.L,InterContinental Hotels Group
ICP.L,Intermediate Capital Group
IAG.L,International Consolidated Airli..
INPP.L,International Public Partnership..
ITRK.L,Intertek Group
INTU.L,Intu Properties
INVP.L,Investec
IPO.L,IP Group
ITV.L,ITV
IWG.L,IWG
JLT.L,Jardine Lloyd Thompson Group
JD.L,JD Sports Fashion
JLG.L,John Laing Group
JLIF.L,John Laing Infrastructure Fund Ltd
JMAT.L,Johnson Matthey
JAM.L,JPMorgan American Inv Trust
JMG.L,JPMorgan Emerging Markets Inv Tr..
JII.L,JPMorgan Indian Investment Trust
JUP.L,Jupiter Fund Management
JE.L,Just Eat
JUST.L,Just Group
KAZ.L,Kaz Minerals
KIE.L,Kier Group
KGF.L,Kingfisher
LCL.L,Ladbrokes Coral Group
LRE.L,Lancashire Holdings Limited
LAND.L,Land Securities Group
LGEN.L,Legal & General Group
LLOY.L,Lloyds Banking Group
LSE.L,London Stock Exchange Group
LMP.L,LondonMetric Property
EMG.L,Man Group
MKS.L,Marks & Spencer Group
MSLH.L,Marshalls
MARS.L,Marston's
MCS.L,McCarthy & Stone
MDC.L,Mediclinic International
MGGT.L,Meggitt
MRO.L,Melrose Industries
MRC.L,Mercantile Investment Trust (The)
MERL.L,Merlin Entertainments
MTRO.L,Metro Bank
MCRO.L,Micro Focus International
MLC.L,Millennium & Copthorne Hotels
MAB.L,Mitchells & Butlers
MTO.L,Mitie Group
MNDI.L,Mondi
MONY.L,Moneysupermarket.com Group
MNKS.L,Monks Inv Trust
MGAM.L,Morgan Advanced Materials
MRW.L,Morrison (Wm) Supermarkets
MYI.L,Murray International Trust
NEX.L,National Express Group
NG.L,National Grid
NBLS.L,NB Global Floating Rate Income F..
NRR.L,NewRiver REIT
NXG.L,Nex Group
NXT.L,Next
NMC.L,NMC Health
NOG.L,Nostrum Oil & Gas
OCDO.L,Ocado Group
OML.L,Old Mutual
OSB.L,OneSavings Bank
P2P.L,P2P Global Investments
PPB.L,Paddy Power Betfair
PAGE.L,Pagegroup
PAG.L,Paragon Banking Group
PAY.L,PayPoint
PAYS.L,Paysafe Group
PSON.L,Pearson
PNN.L,Pennon Group
PLI.L,Perpetual Income & Growth Inv Tr..
PSH.L,Pershing Square Holdings Ltd NPV
PSN.L,Persimmon
PNL.L,Personal Assets Trust
PFC.L,Petrofac Ltd.
PETS.L,Pets at Home Group
PHNX.L,Phoenix Group Holdings (DI)
PTEC.L,Playtech
PCT.L,Polar Capital Technology Trust
POLY.L,Polymetal International
PLP.L,Polypipe Group
PFG.L,Provident Financial
PRU.L,Prudential
PZC.L,PZ Cussons
QQ.L,QinetiQ Group
RRS.L,Randgold Resources Ltd.
RNK.L,Rank Group
RAT.L,Rathbone Brothers
RB.L,Reckitt Benckiser Group
RDI.L,Redefine International
RDW.L,Redrow
REL.L,Relx plc
RWI.L,Renewi
RSW.L,Renishaw
RTO.L,Rentokil Initial
RTN.L,Restaurant Group
RMV.L,Rightmove
RIO.L,Rio Tinto
RCP.L,RIT Capital Partners
RSE.L,Riverstone Energy Limited
RR.L,Rolls-Royce Holdings
ROR.L,Rotork
RBS.L,Royal Bank of Scotland Group
RDSA.L,Royal Dutch Shell 'A'
RDSB.L,Royal Dutch Shell 'B'
RMG.L,Royal Mail
RPC.L,RPC Group
RSA.L,RSA Insurance Group
SAFE.L,Safestore Holdings
SAGA.L,Saga
SGE.L,Sage Group
SBRY.L,Sainsbury (J)
SNN.L,Sanne Group
SVS.L,Savills
SDR.L,Schroders
SCIN.L,Scottish Inv Trust
SMT.L,Scottish Mortgage Inv Trust
SGRO.L,SEGRO
SNR.L,Senior
SEQI.L,Sequoia Economic Infrastructure ..
SRP.L,Serco Group
SVT.L,Severn Trent
SHB.L,Shaftesbury
SHP.L,Shire Plc
SHI.L,SIG
SXX.L,Sirius Minerals
SKY.L,Sky
SN.L,Smith & Nephew
SMDS.L,Smith (DS)
SMIN.L,Smiths Group
SKG.L,Smurfit Kappa Group
SCT.L,Softcat
SOPH.L,Sophos Group
SXS.L,Spectris
SPX.L,Spirax-Sarco Engineering
SPI.L,Spire Healthcare Group
SPD.L,Sports Direct International
SSE.L,SSE
SSPG.L,SSP Group
STJ.L,St James's Place
SMP.L,St. Modwen Properties
SGC.L,Stagecoach Group
STAN.L,Standard Chartered
SLA.L,Standard Life Aberdeen
STOB.L,Stobart Group Ltd.
SGP.L,Supergroup
SYNC.L,Syncona Limited NPV
SYNT.L,Synthomer
TALK.L,TalkTalk Telecom Group
TATE.L,Tate & Lyle
TW.L,Taylor Wimpey
TBCG.L,TBC Bank Group
TED.L,Ted Baker
TEP.L,Telecom Plus
TMPL.L,Temple Bar Inv Trust
TEM.L,Templeton Emerging Markets Inv T..
TSCO.L,Tesco
TRIG.L,The Renewables Infrastructure Gr..
TCG.L,Thomas Cook Group
TCAP.L,TP ICAP
TRY.L,TR Property Inv Trust
TPK.L,Travis Perkins
BBOX.L,Tritax Big Box Reit
TUI.L,TUI AG Reg Shs (DI)
TLW.L,Tullow Oil
UBM.L,UBM
UDG.L,UDG Healthcare Public Limited Co..
UKCM.L,UK Commercial Property Trust
ULE.L,Ultra Electronics Holdings
ULVR.L,Unilever
UTG.L,Unite Group
UU.L,United Utilities Group
VEC.L,Vectura Group
VED.L,Vedanta Resources
VSVS.L,Vesuvius
VCT.L,Victrex plc
VEIL.L,Vietnam Enterprise Investments (..
VM.L,Virgin Money Holdings (UK)
VOD.L,Vodafone Group
WEIR.L,Weir Group
JDW.L,Wetherspoon (J.D.)
SMWH.L,WH Smith
WTB.L,Whitbread
WMH.L,William Hill
WTAN.L,Witan Inv Trust
WIZZ.L,Wizz Air Holdings
WG.L,Wood Group (John)
WPCT.L,Woodford Patient Capital Trust
WKP.L,Workspace Group
WPG.L,Worldpay Group
WWH.L,Worldwide Healthcare Trust
WPP.L,WPP
ZPG.L,ZPG Plc
