3IN.L,3I Infrastructure
888.L,888 Holdings
AADV.L,ALBION DEVPT
AAIF.L,Aberdeen Asian Income Fund
AAL.L,Anglo American plc ord $0.50
AAM.L,ARTEMIS VCT
AAPV.L,ALBION PRCT VCT
AAS.L,Aberdeen Asian Small Company I T
AAT.L,AEA Technology
AATG.L,ALB TECH & GEN
AAU.L,Ariana Resources
ABAA.L,Abrdn All Asia
ABBY.L,Abbey
ABC.L,Abcam
ABD.L,Aberdeen New Dawn I T
ABF.L,Assoc Brit Foods plc
ABH.L,Angel Biotechnology Holdings
ABM.L,Albermarle & Bond Plc Ord 4p
ABNY.L,Albany Investment Trust
ABTX.L,Aqua Bounty Technologies
ACC.L,ACCESS INTELLIG GB
ACD.L,Acencia Debt Strategies Ltd
ACG.L,Accuma Group
ACL.L,Acal plc
ACMG.L,ACM Shipping Group
ACR.L,Abbeycrest plc
ACS.L,AI Claims Sol
ACU.L,AFRICAN COPPER
ACZ.L,AUTOCLENZ HOLD
ADH.L,ASIA DIGITAL HDS
ADID.L,Armor Designs
ADM.L,ADMIRAL GROUP GB
ADN.L,ABERDEEN ASSET MANAGEMENT PLC
ADS.L,ALEX DAV SEC
ADT.L,AdEPT Telecom
ADU.L,Advance UK Trust
AEC.L,AEC EDUCATION GB
AEN.L,Andes Ener
AEP.L,Anglo-Eastern Plantations plc
AERL.L,Aer Lingus Group
AEX.L,Aminex
AEY.L,ANTRIM ENERGY CA
AFC.L,AFC Energy
AFCR.L,African Consolidated Resources
AFD.L,AFRICAN DIAMONDS
AFE.L,African Eagle
AFMF.L,Advance Frontier Markets Fund
AFN.L,ADVFN
AFNR.L,AFNAT RESOURCES
AFR.L,AFREN
AFS.L,AMIAD FILTER SYS
AGA.L,AGA Foodserve Group
AGI.L,AGI Therapeutics
AGK.L,Aggreko
AGL.L,ANGLE PLC GB
AGLD.L,Allied Gold
AGOL.L,Ashmore Global Opp
AGP.L,ASIAN GRT PRP
AGQ.L,Arian Silver Crp
AGR.L,Assura Group
AGS.L,Aegis Group plc
AGY.L,ALLERGY THERAPEUT GB
AHI.L,ALLIED HLTH INT
AHT.L,Ashtead Group plc
AIE.L,Anite Group Inc Ord 10p
AIEA.L,Airea
AIF.L,Acorn Income Fd Ld Ord 25p
