^A31,A3DOW - DJ LATIN AMERICA STOCK INDEX
^AEX,Netherlands AEX General Index
^ALLS,FTSE Italia Star
^AORD,Australia All Ordinaries Index
^AT1,ATDOW - DJ AUSTRIA STOCK INDEX
^AT2,ATDOWD - DJ AUSTRIA STOCK INDEX USD
^ATG,Greece General Share Index
^ATX,Austria ATX Index
^AXJO,S&P/ASX 200
^BADI,Baltic Dry Index
^BE1,BEDOW - DJ BELGIUM STOCK INDEX
^BE2,BEDOWD - DJ BELGIUM STOCK INDEX USD
^BFX,Brussels Bel-20 Share Index
^BR1,BRDOW - DJ BRAZIL STOCK INDEX
^BR2,BRDOWD - DJ BRAZIL STOCK INDEX USD
^BSESN,BSE 30 (India)
^BUX,Hungary BUX Index
^BVS2,Brazil Bovespa Index
^BVSP,Brazil Bovespa Index
^CA1,CADOW - DJ CANADA STOCK INDEX
^CA2,CADOWD - DJ CANADA STOCK INDEX USD
^CCSI,Egypt CMA Index
^CEC,Austrian Ceceeur Index
^CH1,CHDOW - DJ SWITZERLAND STOCK INDEX
^CH2,CHDOWD - DJ SWITZERLAND STOCK INDEX USD
^CL1,CLDOW - DJ CHILE STOCK INDEX
^CL2,CLDOWD - DJ CHILE STOCK INDEX USD
^CSE,Sri Lanka All Share Index
^CTX,Czech Index
^CTXE,Czech Index Euro
^DBLC,Deutsch Bank Liquid Commodity Index
^DE1,DEDOW - DJ GERMANY STOCK INDEX
^DE2,DEDOWD - DJ GERMANY STOCK INDEX USD
^DJ1,DJAUM - DJ AUSTRALIAN MID-CAP INDEX
^DJ2,DJAUS - DJ AUSTRALIAN SMALL-CAP INDEX
^DJAT,DJ ASIAN TITANS INDEX
^DJAU,DOW JONES AUSTRALIAN INDEX
^DK1,DKDOW - DJ DENMARK STOCK INDEX
^DK2,DKDOWD - DJ DENMARK STOCK INDEX USD
^E11,E1BSC - DJ EUROPE BASIC MATERIALS INDEX
^E12,E1CYC - DJ EUROPE CONSUMER CYCLICALS IND
^E13,E1DOW - DJ EUROPE STOCK INDEX
^E14,E1ENE - DJ EUROPE ENERGY INDEX
^E15,E1FIN - DJ EUROPE FINANCIAL INDEX
^E16,E1IDU - DJ EUROPE INDUSTRIAL INDEX
^E17,E1NCY - DJ EUROPE CONSUMER NON-CYCLICAL
^E18,E1TEC - DJ EUROPE TECHNOLOGY INDEX
^E19,E1UTI - DJ EUROPE UTILITIES INDEX
^E21,E2BSC - DJ EUROPE (EX UK) BASIC MATERIAL
^E22,E2CYC - DJ EUROPE (EX UK) CONSUMER CYCLI
^E23,E2DOW - DJ EUROPE STOCK INDEX (EXCL UK)
^E24,E2ENE - DJ EUROPE (EX UK) ENERGY INDEX
^E25,E2FIN - DJ EUROPE (EX UK) FINANCIAL INDE
^E26,E2IDU - DJ EUROPE (EX UK) INDUSTRIAL IND
^E27,E2NCY - DJ EUROPE (EX UK) CONSUMER NON-C
^E28,E2UTI - DJ EUROPE (EX UK) UTILITIES INDE
^E31,E3DOW - DJ NORDIC STOCK INDEX
^ES1,ESDOW - DJ SPAIN STOCK INDEX
^ES2,ESDOWD - DJ SPAIN STOCK INDEX USD
^ESM,Swiss Mid-Cap
^EVS,VSTOXX
^FCHI,France CAC-40 Index
^FI1,FIDOW - DJ FINLAND STOCK INDEX
^FI2,FIDOWD - DJ FINLAND STOCK INDEX USD
^FR1,FRDOW - DJ FRANCE STOCK INDEX
^FR2,FRDOWD - DJ FRANCE STOCK INDEX USD
^FTAD,FTSE Sector Aerospace & Defense
^FTAM,FTSE Sector Automobiles and Parts
^FTBK,FTSE Sector Banks
^FTBM,FTSE Sector Construction & Building Mate
^FTCH,FTSE Sector Chemicals
^FTCS,FTSE Sector Software & Computer Services
^FTDN,FTSE Sector Beverages
^FTEE,FTSE Sector Electronic & Electrical Equi
^FTEI,FTSE Sector Mining
^FTEN,FTSE Sector Engineering & Machinery
^FTEY,FTSE Sector Electricity
^FTFM,FTSE Sector Food Producers & Processors
^FTFR,FTSE Sector Food & Drug Retailers
^FTGI,FTASX2720 Gen Industrials
^FTGW,FTASZ7570 Gas Water and Util
^FTHG,FTSE Sector Household Goods & Textiles
^FTHL,FTSE Sector Leisure Entertainment & Hote
^FTHO,FTASX3720 Household Goods
^FTIC,FTSE Sector Insurance
^FTIL,FTSE Sector Life Assurance
^FTMA,FTSE Sector Health
^FTMD,FTSE Sector Media & Photography
^FTMT,FTASX6570 Mobile Telecom
^FTOE,FTASX0570 Oil Equip Suppies & Drilling
^FTOF,FTSE Sector Speciality & Other Finance
^FTOI,FTSE Sector Oil & Gas
^FTPC,FTSE Sector Personal Care & Household Pr
^FTPH,FTSE Sector Pharmaceuticals
^FTPY,FTSE Sector Real Estate
^FTSE,FTSE 100 Index
^FTSS,FTSE Sector Support Services
^FTTA,FT Techmark Index
^FTTB,FTSE Sector Tobacco
^FTTH,FTSE Sector Information Technology Hardw
^FTTI,FT Techmark 100
^FTTN,FTSE Sector Telecommunications Services
^FTTR,FTSE Sector Transport
^FTTU,FTSE Sector INV Companies
^GB1,GBDOW - DJ UK STOCK INDEX
^GB2,GBDOWD - DJ UK STOCK INDEX USD
^GDAXI,DAX (Germany)
^GR1,GRDOW - DJ GREECE STOCK INDEX
^GR2,GRDOWD - DJ GREECE STOCK INDEX USD
^GSPC,S&P 500 (USA)
^GSPTSE,S&P TSX Composite (Canada)
^HEX,Finland Helsinki General Index
^HK1,HKDOW - DJ HONG KONG STOCK INDEX
^HK2,HKDOWD - DJ HONG KONG STOCK INDEX USD
^HSCE,HANG SENG CHINA ENTERPRISES IND
^HSI,Hong Kong Hang Seng Index
^HTX,Hungarian Index
^HTXE,Hungarian Index Euro
^IBAM,ICE Brent Asian Markers
^IBC,Venezuela IBC Index
^IBEX,Spain IBEX 35 Index
^ID1,IDDOW - DJ INDONESIA STOCK INDEX
^ID2,IDDOWD - DJ INDONESIA STOCK INDEX USD
^IE1,IEDOW - DJ IRELAND STOCK INDEX
^IE2,IEDOWD - DJ IRELAND STOCK INDEX USD
^IETP,ISEQ20 (Ireland)
^IGEM,ICE Gas Oil Evening Markers
^IGNM,ICE Gas Oil Night Markers
^IGPA,Chile SASE General Index
^IGRA,Peru Lima General Index
^IGSM,ICE Gasoil Singapore Markers
^IMUS,DJ ISLAMIC MARKET US INDEX
^IMXL,DJ ISLAMIC EXTRA LIQUID INDEX
^INMX,Indice Mexico
^IPC,IPC (MEXICO)
^IPCI,ICE Crude Oil Index
^IPEB,ICE Brent Afternoon Markers
^IPNG,ICE Natural Gas Index
^IPSA,Chile SASE Select Index (NEW)
^ISEQ,Irish Stock Exchange Index
^IT1,ITDOW - DJ ITALY STOCK INDEX
^IT2,ITDOWD - DJ ITALY STOCK INDEX USD
^IWSM,ICE WTI Singapore Markers
^JKSE,Jakarta Composite Index
^JNW,Topix 300
^JP1,Dow Jones Japan Index
^JP2,JPDOWD - DJ JAPAN STOCK INDEX USD
^JSD,Jasdaq
^JSFI,Johannesburg Financial Index
^JTI,Topix
^JTI2,Topix Index
^KFX,Denmark KFX Index
^KLSE,Malaysia KLSE Composite Index
^KOS,KOSPI 200 Index
^KR1,KRDOW - DJ SOUTH KOREA STOCK INDEX
^KR2,KRDOWD - DJ SOUTH KOREA STOCK INDEX USD
^KS11,South Korea Seoul Composite Index
^KSE,Pakistan Karachi 100 Index
^LA40,S&P Latin America 40
^MDAX,MDAX
^MERV,Argentina Merval Index
^MSSG,MSCI Singapore Stock Index
^MSTW,MSCI Taiwan Index
^MTMS,Russia Moscow Times Index
^MX1,MXDOW - DJ MEXICO STOCK INDEX
^MX2,MXDOWD - DJ MEXICO STOCK INDEX USD
^MXX,Mexico I P C
^MY1,MYDOW - DJ MALAYSIA STOCK INDEX
^MY2,MYDOWD - DJ MALAYSIA STOCK INDEX USD
^N100,Euronext 100 Index
^N10C,NZX 10 Capital
^N10G,NZX 10 Gross
^N150,Euronext 150 Index
^N225,Japan Nikkei 225 Index
^N300,Nikkei 300
^N50C,NZX 50 Portfolio Capital
^N50G,NZX 50 Portfolio Gross
^NJQ,Nikkei JQ Average
^NL1,NLDOW - DJ NETHERLANDS STOCK INDEX
^NL2,NLDOWD - DJ NETHERLANDS STOCK INDEX USD
^NMCC,NZX MidCap Capital
^NO1,NODOW - DJ NORWAY STOCK INDEX
^NO2,NODOWD - DJ NORWAY STOCK INDEX USD
^NSCC,NZX SmallCap Capital
^NSCG,NZX SmallCap Gross
^NZ1,NZDOW - DJ NEW ZEALAND STOCK INDEX
^NZ15,NZX 15
^NZ2,NZDOWD - DJ NEW ZEALAND STOCK INDEX USD
^NZ50,New Zealand 50 Index
